rank,score,canonical_name,primary_state,hq,size_tier,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,verdict_conf,verdict_reason,rationale,sample_address
166,89.5,JFK Transportation,CA,"Santa Ana, CA",single,15,752000,1992,1,0,Jfktransportationco.Com,(714) 543-4629,Kevin Watson (Director),0.85,Private California transportation company,15 emp; $0.8M rev; est 1992 (34y); single; web+phone; school,"980 W 17th St # B, Santa Ana, CA 92706"
168,89.5,Duram School Svc L P,CA,"Auburn, CA",single,14,699000,2001,1,0,Durhamschoolservices.Com,(530) 887-9909,Tom Buntt (Manager),0.95,"Durham School Services, major private contractor",14 emp; $0.7M rev; est 2001 (25y); single; web+phone; school,"11400 Lariat Ranch Rd, Auburn, CA 95603"
169,89.0,Yucaipa Bus Svc,CA,"Yucaipa, CA",small(2-5),27,1684000,1944,1,1,,(909) 797-2004,Vincent Dudziak (President),0.8,Private California school bus service,27 emp; $1.7M rev; est 1944 (82y); small(2-5); phone; school+special,"12225 Bryant St, Yucaipa, CA 92399"
171,88.5,Surburban Bus Transportation,NY,"North Bellmore, NY",single,120,17674000,,1,0,Suburbanbus.Net,(516) 781-5151,Philip Gunther (CEO),0.9,Private NY school bus contractor,120 emp; $17.7M rev; year n/a; single; web+phone; school,"1881 Newbridge Rd, North Bellmore, NY 11710"
179,88.5,ABC Transit Inc,PA,"Pittsburgh, PA",single,230,10194000,,1,0,Abctransit.Com,(412) 782-4110,Aaron Silverman (Owner),0.9,Private Inc school bus contractor PA,230 emp; $10.2M rev; year n/a; single; web+phone; school,"320 Poplar St, Pittsburgh, PA 15223"
180,88.5,Liberty Lines Bus Assoc Inc,NY,"Yonkers, NY",single,11,8970000,,1,0,Libertylines.Com,(914) 969-6900,,0.8,Private bus operator Yonkers NY,11 emp; $9.0M rev; year n/a; single; web+phone; school,"475 Saw Mill River Rd, Yonkers, NY 10701"
182,88.5,Integrity Student Trnsprtn,NJ,"Egg Harbor City, NJ",single,200,8390000,,1,0,Integritybus.Net,(609) 965-8100,Joe Duncan (Owner),0.95,Private NJ student transport contractor,200 emp; $8.4M rev; year n/a; single; web+phone; school,"1026 W White Horse Pike, Egg Harbor City, NJ 08215"
185,88.5,Dufour Tours,MA,"Hinsdale, MA",single,200,7604000,,1,0,Dufourtours.Com,(413) 655-8122,David Sookey (Director),0.9,Private MA bus/coach operator,200 emp; $7.6M rev; year n/a; single; web+phone; school,"133 South St, Hinsdale, MA 01235"
190,88.5,Chief School Bus Svc,NE,"Omaha, NE",single,75,7011000,,1,0,Dmv.Nebraska.Gov,(402) 393-0741,George Giboo (Vice President),0.85,Private NE school bus contractor,75 emp; $7.0M rev; year n/a; single; web+phone; school,"3111 S 67th St, Omaha, NE 68106"
191,88.5,Tri County Transportation,PA,"Northern Cambria, PA",single,200,6951000,,1,0,Tricountytrans.Com,(814) 948-6537,Girard Tibbott (President),0.9,"Private PA contractor, own domain",200 emp; $7.0M rev; year n/a; single; web+phone; school,"406 Magnolia St, Northern Cambria, PA 15714"
192,88.5,Goldstar Transit,TX,"Fort Worth, TX",single,140,6804000,,1,0,Automation.Omron.Com,(817) 306-0684,Tina Meads (Manager),0.8,Private TX transit/bus operator,140 emp; $6.8M rev; year n/a; single; web+phone; school,"10251 Warehouse Way, Fort Worth, TX 76179"
193,88.5,MBG Enterprises Inc,MD,"Harmans, MD",single,150,6687000,,1,0,Mbgenterprises.Net,(410) 766-3621,Mitch Gunther (President),0.8,Private Inc MD school transport contractor,150 emp; $6.7M rev; year n/a; single; web+phone; school,"7457 Shipley Ave, Harmans, MD 21077"
195,88.5,Firststudent,IL,"Villa Park, IL",single,120,6160000,,1,0,Firststudentinc.Com,(630) 530-9366,Cody Hausherr (Manager),0.95,"First Student, large private contractor",120 emp; $6.2M rev; year n/a; single; web+phone; school,"425 N Villa Ave, Villa Park, IL 60181"
196,88.5,V Rolling Bus Corp,NY,"South Fallsburg, NY",single,142,5957000,,1,0,Rollingv.Com,(845) 434-0511,Linda Kleingardner (Operations),0.9,Rolling V bus corp NY private,142 emp; $6.0M rev; year n/a; single; web+phone; school,"5008 Main St, South Fallsburg, NY 12779"
197,88.5,Beach Transportation,MT,"Missoula, MT",single,140,5873000,,1,0,Beachtrans.Com,(406) 549-6121,Robert D Beach (President),0.9,Private MT charter/school bus operator,140 emp; $5.9M rev; year n/a; single; web+phone; school,"825 Mount Ave, Missoula, MT 59801"
198,88.5,B & F Skilled Inc,NY,"Brooklyn, NY",single,150,5859000,,1,0,Bandfbus.Com,(347) 312-2722,Cheryl Benowitz (President),0.85,Private NY bus contractor Brooklyn,150 emp; $5.9M rev; year n/a; single; web+phone; school,"3100 Cropsey Ave, Brooklyn, NY 11224"
200,88.5,E Class Transportation Inc,NY,"Rockville Centre, NY",single,113,5522000,,1,0,Eclasstransportation.Com,(516) 255-2060,,0.9,Private Inc NY school transport contractor,113 emp; $5.5M rev; year n/a; single; web+phone; school,"1367 Tanglewood Rd, Rockville Centre, NY 11570"
202,88.5,Carrier Management Corp,PA,"Clairton, PA",single,120,5319000,,1,0,Carriermanagement.Com,(412) 384-8810,Lynette Turner (Manager),0.75,Corporate suffix suggests private contractor,120 emp; $5.3M rev; year n/a; single; web+phone; school,"1112 1st St, Clairton, PA 15025"
203,88.5,Mitco Limited,AZ,"Scottsdale, AZ",single,117,5284000,,1,0,Mitco.Com,(480) 816-0903,Joshua Miller (Manager),0.7,Private corporate entity in transportation list,117 emp; $5.3M rev; year n/a; single; web+phone; school,"10565 N 114th St # 116, Scottsdale, AZ 85259"
204,88.5,Weikel Busing LLC,PA,"Selinsgrove, PA",single,125,5244000,,1,0,Weikelbus.Com,(570) 374-5280,Lisa Weikel (Owner),0.97,Family-named bus company LLC,125 emp; $5.2M rev; year n/a; single; web+phone; school,"204 Universal Rd, Selinsgrove, PA 17870"
206,88.5,Mcilwain School Bus Lines Inc,PA,"Windber, PA",single,84,4962000,,1,0,Mcilwainbus.Net,Not Available,,0.98,Family-named school bus line Inc,84 emp; $5.0M rev; year n/a; single; web+phone; school,"1976 Forest Hills Dr, Windber, PA 15963"
209,88.5,Trobec's School Bus Svc,MN,"Saint Stephen, MN",single,50,4238000,,1,0,Trobecsbus.Com,(320) 251-1202,Tim Schubert (Owner),0.98,Family-named school bus service,50 emp; $4.2M rev; year n/a; single; web+phone; school,"413 County Road 2 S, Saint Stephen, MN 56375"
212,88.5,Safe Journey 2 School,IL,"Chicago, IL",single,80,4121000,,1,0,Safejourney2school.Com,Not Available,Attiya S Jones (Owner),0.8,Private school transportation service,80 emp; $4.1M rev; year n/a; single; web+phone; school,"5746 S Honore St, Chicago, IL 60636"
214,88.5,Franmar School Bus Svc,FL,"Cutler Bay, FL",single,40,3812000,,1,0,Franmarbuscompany.Com,(305) 253-5086,Fran Martinelli (President),0.95,Privately-named school bus service,40 emp; $3.8M rev; year n/a; single; web+phone; school,"19301 SW 108th Ave, Cutler Bay, FL 33157"
215,88.5,Eshelman Transportation Inc,PA,"Leesport, PA",single,90,3638000,,1,0,Eshelmantrans.Com,(610) 916-4771,Deborah Chambers (Manager),0.95,Family-named transportation Inc,90 emp; $3.6M rev; year n/a; single; web+phone; school,"100 W Shackamaxon St, Leesport, PA 19533"
216,88.5,Academy Business Co Inc,NY,"Yonkers, NY",single,70,3568000,,1,0,Academybusco.Com,(914) 963-3622,Bob Sturtevant (Owner),0.8,Likely Academy Bus private operator,70 emp; $3.6M rev; year n/a; single; web+phone; school,"29 Hudson St, Yonkers, NY 10701"
218,88.5,Albert Lea Bus Co Inc,MN,"Albert Lea, MN",single,80,3356000,,1,0,Alschools.Org,(507) 373-1467,Steve Anderson (Director),0.95,Private bus company Inc,80 emp; $3.4M rev; year n/a; single; web+phone; school,"1407 Saint John Ave, Albert Lea, MN 56007"
221,88.5,Mil Transit Inc,PA,"Pittsburgh, PA",single,75,3324000,,1,0,Pps.K12.Pa.Us,(412) 682-4110,Rick Linder (President),0.85,Private transit Inc operator,75 emp; $3.3M rev; year n/a; single; web+phone; school,"60 38th St, Pittsburgh, PA 15201"
227,88.5,Interntonal SCHL Bus Svc Isbs,IL,"Chicago, IL",single,22,3142000,,1,0,Globayo.Com,Not Available,,0.75,"Bus service name, Globayo is logistics platform",22 emp; $3.1M rev; year n/a; single; web+phone; school,"3258 W 85th Pl, Chicago, IL 60652"
229,88.5,Illinois School Bus Co,IL,"Lansing, IL",single,56,2885000,,1,0,Army.Mil,Not Available,,0.85,"Named bus company, likely private contractor",56 emp; $2.9M rev; year n/a; single; web+phone; school,"17714 Locust St, Lansing, IL 60438"
230,88.5,Missouri Central Bus,IL,"Chicago, IL",single,55,2833000,,1,0,Lrmc.Com,Not Available,,0.7,"Named bus company, likely private operator",55 emp; $2.8M rev; year n/a; single; web+phone; school,"6226 W 74th St, Chicago, IL 60638"
234,88.5,Columbia Bus Resources LLC,OR,"Tualatin, OR",single,56,2763000,,1,0,Columbiabusinessresources.Com,(503) 682-8950,,0.85,"LLC with bus in name, private operator",56 emp; $2.8M rev; year n/a; single; web+phone; school,"PO Box 2413, Tualatin, OR 97062"
243,88.5,Winkle Bus Co,CT,"West Haven, CT",single,60,2517000,,1,0,Winklebusco.Com,(203) 934-2943,Craig Winkle (Owner),0.95,Family-named bus company with own website,60 emp; $2.5M rev; year n/a; single; web+phone; school,"10 Industry Dr, West Haven, CT 06516"
245,88.5,Tri Star Transport,NY,"Middletown, NY",single,60,2485000,,1,0,Tristartransport.Com,(845) 609-7436,Christopher Jacques (Owner),0.9,Named transport company with own website,60 emp; $2.5M rev; year n/a; single; web+phone; school,"29 Bloomingburg Rd # A, Middletown, NY 10940"
248,88.5,A School Ride LLC,AZ,"Scottsdale, AZ",single,53,2394000,,1,0,Aschoolride.Com,(480) 515-0077,,0.9,"LLC school ride service, private operator",53 emp; $2.4M rev; year n/a; single; web+phone; school,"30013 N 70th St, Scottsdale, AZ 85266"
252,88.5,Eagle Bus Svc,NC,"Newell, NC",single,47,2294000,,1,0,Theeaglebus.Com,Not Available,,0.85,Private bus service company,47 emp; $2.3M rev; year n/a; single; web+phone; school,"10101 Nwell Hckry Grove R, Newell, NC 28126"
256,88.5,Nelson Transportation Inc,CA,"Victorville, CA",single,53,2215000,,1,0,Freelaptopreward.Com,Not Available,,0.8,Private transportation Inc,53 emp; $2.2M rev; year n/a; single; web+phone; school,"11625 Beachcomber Ln, Victorville, CA 92392"
266,88.5,M & J School Bus Co,CT,"Old Saybrook, CT",single,50,2098000,,1,0,Mjbusinc.Com,(860) 388-6782,Michael Beebe (President),0.95,Private school bus company,50 emp; $2.1M rev; year n/a; single; web+phone; school,"130 Ingham Hill Rd, Old Saybrook, CT 06475"
268,88.5,Lake Country Industries,MN,"Loretto, MN",single,40,2033000,,1,0,Lakecountrytransportation.Com,(763) 251-6400,Paul Spakosky (Owner),0.7,"Lake Country Transportation, private operator",40 emp; $2.0M rev; year n/a; single; web+phone; school,"9520 County Road 19 # E, Loretto, MN 55357"
269,88.5,Private School Bus Contract,PA,"Meshoppen, PA",single,48,2014000,,1,0,Skc-Networks.Net,Not Available,,0.75,Private school bus contractor,48 emp; $2.0M rev; year n/a; single; web+phone; school,"RR 2 Box 331b, Meshoppen, PA 18630"
272,88.5,Grande Ronde Transportation Co,OR,"Pendleton, OR",single,47,1972000,,1,0,Midcobus.Com,(541) 278-1444,,0.8,"Private transportation company, MidCo Bus",47 emp; $2.0M rev; year n/a; single; web+phone; school,"PO Box 1108, Pendleton, OR 97801"
274,88.5,Towne Bus Corp,NY,"Plainview, NY",single,40,1955000,,1,0,Wetransport.Com,(516) 349-8200,Jerome Marksohn (President),0.9,"Private bus corporation, WE Transport",40 emp; $2.0M rev; year n/a; single; web+phone; school,"75 Commercial St, Plainview, NY 11803"
278,88.5,B H Goodman Bus SE,TX,"Houston, TX",single,35,1938000,,1,0,Goodmanbus.Com,Not Available,,0.85,Houston charter/school bus operator,35 emp; $1.9M rev; year n/a; single; web+phone; school,"3920 North Fwy, Houston, TX 77022"
279,88.5,Marks Bus Svc,NJ,"Cherry Hill, NJ",single,43,1928000,,1,0,Markspassengerservices.Com,Not Available,,0.85,"Family-name bus service, NJ",43 emp; $1.9M rev; year n/a; single; web+phone; school,"2081 Marlton Pike E, Cherry Hill, NJ 08003"
283,88.5,Global Transportation Inc,NY,"Yonkers, NY",single,37,1886000,,1,0,Globaltransp.Com,(914) 656-4973,Cesar Medina (Manager),0.75,Private NY transportation Inc,37 emp; $1.9M rev; year n/a; single; web+phone; school,"146 Belknap Ave, Yonkers, NY 10710"
293,88.5,Star Trans Bus,IN,"Goshen, IN",single,43,1804000,,1,0,Startransbus.Com,Not Available,,0.9,Indiana private bus operator,43 emp; $1.8M rev; year n/a; single; web+phone; school,"2592 Kercher Rd, Goshen, IN 46528"
296,88.5,Johnson Bus Serivce LLC,MD,"Westminster, MD",single,45,1763000,,1,0,Members.Carrollcountychamber.Org,(410) 876-1457,Carol Johnson (Owner),0.9,Maryland family-name bus service LLC,45 emp; $1.8M rev; year n/a; single; web+phone; school,"1215 Deer Park Rd, Westminster, MD 21157"
