entity_key,canonical_name,locations,size_tier,n_states,states,primary_state,loc_employees_sum,loc_sales_sum,corp_employees,corp_sales,year_established,school,special_needs,charter,parents,website,phone,lead_exec,hq,sample_address,name_variants,nontarget_reason,review_flag,gov_flag,credit_score,is_target
T TRANSPORTATION,L T Transportation,4,small(2-5),3,"NY,FL,MD",NY,47,3099000,0,0,,1,0,1,,Cttransportation.Com,(239) 634-3226,Richard Calloway (Owner),"Baltimore, MD","2552 Woodbrook Ave, Baltimore, MD 21217",L T Transportation(3); C & T Transportation(1),,,0,B+,1
DAKOTA BUS SERVICE,Dakota Bus Svc Inc,4,small(2-5),3,"CO,ND,SD",CO,45,2914000,0,0,,1,0,1,,Gracecoachlines.Com,(303) 287-7605,Phyllis Charles (Manager),"Lafayette, CO","1901 S 120th St # B, Lafayette, CO 80026",Dakota Bus Svc Inc(3); Dakota Bus Svc(1),,,0,A,1
CAVALLO BUS LINE,Cavallo Bus Line Inc,4,small(2-5),1,IL,IL,39,2716000,0,0,,0,0,1,,Cavallobuslines.Com,(800) 527-5675,David Warren (CEO),"Springfield, IL","509 Illinois Glsp, Springfield, IL 62703",Cavallo Bus Line Inc(3); Cavallo Bus Line(1),,,0,B,1
UNIVERSAL BUS CHARTER,Universal Bus Charter,4,small(2-5),3,"DC,MD,VA",DC,19,2592000,0,0,,0,0,1,,Universalbuscharter.Com,(202) 817-3585,Aziza A Zeid (Owner),"Washington, DC","3621 Benning Rd NE, Washington, DC 20019",Universal Bus Charter(2); Universal Bus Charter Inc(2),,,0,B,1
CARE A VAN,Care-A-Van,4,small(2-5),4,"FL,KY,ND,WI",FL,43,2488000,0,0,1964,0,1,0,,Careavan.Com,(772) 398-1331,Craig Mackin (Owner),"Port Saint Lucie, FL","2002 Bella Vista Way, Port Saint Lucie, FL 34952",Care-A-Van(3); Care A Van(1),,,0,C,1
SCHOOL BUS CONSULTANTS,School Bus Consultants,4,small(2-5),4,"MD,MO,NY,TN",MD,47,2191000,0,0,2017,1,0,0,,Schoolbusconsultants.Com,Not Available,,"Rockville, MD","9710 Traville Gateway Dr, Rockville, MD 20850",School Bus Consultants(2); School Bus Consultants LLC(2),,,0,A+,1
ROYAL AMERICAN CHARTER LINES,Royal American Charter Lines,4,small(2-5),1,IL,IL,18,1991000,0,0,,0,0,1,,Royalride.Com,(800) 323-5281,Tony Heydorf (Other),"Lansing, IL","17727 Volbrecht Rd, Lansing, IL 60438",Royal American Charter Lines(4),,,0,B+,1
ALL AMERICAN COACH LINES,All American Coach Lines,4,small(2-5),1,GA,GA,17,1973000,0,0,,0,0,1,,,(404) 966-6346,,"Forest Park, GA","5222 Old Dixie Hwy, Forest Park, GA 30297",All American Coach Lines(4),,,0,A,1
J TOURS,J & L Tours,4,small(2-5),2,"MI,NJ",MI,19,1916000,0,0,,0,0,1,,Gojctours.Com,(313) 934-5699,Joe Twilley (Owner),"Detroit, MI","14400 Wyoming St, Detroit, MI 48238",J & L Tours(2); J C Tours(2),,,0,C+,1
DIRECT CONNECT CHARTER BUS,Direct Connect Charter Bus,4,small(2-5),1,CA,CA,19,1898000,0,0,,0,0,1,,Directconnectcharterbus.Com,(800) 697-7614,Bruce Majeski (Owner),"Eastvale, CA","5623 Daybreak Dr, Eastvale, CA 91752",Direct Connect Charter Bus(3); Direct Connect Charter Bus Inc(1),,,0,B,1
B J SCHOOL BUS,B-J School Buses Inc,4,small(2-5),2,"SD,NE",SD,38,1824000,0,0,,1,0,1,,Bjbus.Net,(402) 388-4968,John Merkel (Manager),"Crofton, NE","89048 Highway 121, Crofton, NE 68730",B-J School Buses Inc(2); B J School Buses Inc(2),,,0,A,1
WEST VALLEY CHARTER LINES,West Valley Charter Lines Inc,4,small(2-5),1,CA,CA,17,1794000,0,0,,0,0,1,,Westvalleycharter.Com,(408) 371-5762,Kevin Creighton (Vice President),"Brookdale, CA","8780 19th St, Brookdale, CA 95007",West Valley Charter Lines Inc(3); West Valley Charter Lines(1),,,0,B+,1
STAR SHUTTLE CHARTER,Star Shuttle & Charter,4,small(2-5),1,TX,TX,23,1789000,122,28850000,1963,0,0,1,STAR SHUTTLE & CHARTER,Starshuttle.Com,(512) 244-7433,James P Walker (CEO),"San Antonio, TX","1343 Hallmark Dr, San Antonio, TX 78216",Star Shuttle & Charter(4),,,0,B+,1
AUTOBUSES LOS PAISANOS,Autobuses Los Paisanos,4,small(2-5),3,"TX,CO,OK",TX,15,1760000,0,0,,0,0,1,,,(303) 296-5550,Uriel Chauvira (Owner),"Oklahoma City, OK","2223 S Agnew Ave, Oklahoma City, OK 73108",Autobuses Los Paisanos(4),,,0,B+,1
CHARTER,C & C Charter,4,small(2-5),3,"OH,GA,SC",OH,14,1406000,0,0,,0,0,1,,,(404) 696-2215,Robert Ross (Owner),"Atlanta, GA","2600 Ml King Jr Dr SW, Atlanta, GA 30311",C & C Charter(2); L C Charter Inc(2),,,0,B+,1
ACTION COACH,Action Coach,4,small(2-5),4,"CA,NC,NE,OH",CA,13,1315000,0,0,,0,0,1,,,(408) 540-7785,Karie Keown (Manager),"Campbell, CA","2470 S Winchester Blvd, Campbell, CA 95008",Action Coach(4),,,0,B+,1
HOLIDAY COACH LINES,Holiday Coach Lines Inc,4,small(2-5),2,"FL,AR",FL,13,1301000,0,0,,0,0,1,,Holidaycoachlines.Com,(479) 750-3440,J R Winchel (Owner),"Springdale, AR","3732 Elm Springs Rd, Springdale, AR 72762",Holiday Coach Lines Inc(4),,,0,B,1
ABILITY CENTER,Ability Center,4,small(2-5),3,"FL,CA,OR",FL,19,1279000,0,0,2016,0,1,0,,Braunability.Com,(858) 300-1461,Darrell Heath (Owner),"Fresno, CA","2563 N Fordham Ave, Fresno, CA 93727",Ability Center(4),,,0,B,1
AMERICAN COACH LINES ORLANDO,American Coach Lines-Orlando,4,small(2-5),2,"FL,TX",FL,12,1214000,0,0,,0,0,1,,,(386) 675-1170,,"Orlando, FL","4950 Mcleod Rd # B, Orlando, FL 32801",American Coach Lines-Orlando(4),,,0,B+,1
FIRST CLASS TRANSPORTATION,First Class Transportation Inc,4,small(2-5),3,"FL,GA,TX",FL,13,1203000,0,0,1982,0,1,1,,Firstclasstransinc.Com,(352) 686-4753,Lorraine Wood (Owner),"Hudson, FL","18436 Gentle Breeze Ct, Hudson, FL 34667",First Class Transportation Inc(2); First Class Transportation(1); First Class Transportation LLC(1),,,0,B+,1
CELEBRITY LIMOUSINE,Celebrity Limousine,4,small(2-5),4,"CA,OR,RI,WI",CA,11,734000,0,0,1991,0,1,0,,Celebritycabamherst.Com,(323) 936-8241,G DE Caesar (Other),"Santa Monica, CA","3310 Airport Ave, Santa Monica, CA 90405",Celebrity Limousine(4),,,0,C+,1
JOHANNES BUS SERVICE,Johannes Bus Svc,3,small(2-5),2,"IL,IA",IL,170,37132000,0,0,1964,1,0,1,,Johannesbus.Com,(563) 322-2016,Brian Stombaugh (Director),"Rock Island, IL","7909 42nd St W # 1, Rock Island, IL 61201",Johannes Bus Svc(2); Johannes Bus Svc Inc(1),,,0,B+,1
SCHOOL TRANSPORTATION SLTNS,School Transportation Sltns,3,small(2-5),3,"AL,NJ,TN",AL,269,21647000,0,0,1995,1,0,1,,Sts-Transportation.Com,(205) 324-4024,Walter Turner (Director),"Birmingham, AL","3300 Rev Abraham Woods Jr Blvd, Birmingham, AL 35222",School Transportation Sltns(3),,,0,A+,1
TRANSPORTATION MANAGEMENT SERVICE,Horizon Coach Lines,3,small(2-5),2,"FL,NV",FL,215,21574000,0,0,,0,0,1,TRANSPORTATION MANAGEMENT SVC,Horizoncoachlines.Com,(727) 531-7840,Shannon Decker (Finance Exec),,,Horizon Coach Lines(3),,,0,A,1
RICHFIELD BUS,Richfield Bus Co,3,small(2-5),1,MN,MN,185,19827000,0,0,1958,0,0,1,,Richfieldbus.Com,(612) 293-4676,Stan Holter (Owner),"Minneapolis, MN","9237 Grand Ave S, Minneapolis, MN 55420",Richfield Bus Co(3),,,0,A+,1
INDEPENDENT COACH,Independent Coach Corp,3,small(2-5),2,"NY,TN",NY,368,18127000,0,0,1940,1,0,1,,Independentcoach.Com,(516) 569-5364,Lori Cimato (Director),"Hewlett, NY","1145 Railroad Ave, Hewlett, NY 11557",Independent Coach Corp(2); Independent Coach(1),,,0,A+,1
CAPITAL AREA TRANSPORTATION AUTH,Cata Spec Tran,3,small(2-5),1,MI,MI,339,17716000,0,0,,0,1,0,CAPITAL AREA TRNSPRTN AUTH,Cata.Org,(517) 394-2282,Kazi Russell (IT),,,Cata Spec Tran(1); Spec Tran Ride Reservations(1); Spec-Tran(1),,,0,B,1
TRANSPORTATION SERVICE,Transportation Services,3,small(2-5),3,"FL,PA,WI",FL,194,12598000,0,0,1964,1,0,1,,Polkschoolsfl.Com,(863) 534-7300,Rob Davis (Manager),"Bartow, FL","1430 State Road 60 E, Bartow, FL 33830",Transportation Services(2); Transportation Services Inc(1),,,0,A+,1
MARION COUNTY SCHOOL TRANSPORTATION,Marion County School Trnsprtn,3,small(2-5),3,"FL,OR,WV",FL,319,12307000,0,0,,1,0,0,,Salkeiz.K12.Or.Us,(352) 671-4973,Guy Moore (Manager),"Ocala, FL","5470 NW Gainesville Rd, Ocala, FL 34475",Marion County School Trnsprtn(3),,,0,A,1
NY BUS CHARTER,NY Bus Charter,3,small(2-5),2,"NY,NJ",NY,89,11581000,0,0,,0,0,1,,Bustoursny.Com,Not Available,Sergey Kaganovsky (CEO),"Morganville, NJ","30 Scott Dr, Morganville, NJ 07751",NY Bus Charter(2); NY Bus Charter Inc(1),,,0,A+,1
W W TRANSPORTATION,W W Transportation Inc,3,small(2-5),2,"NY,NJ",NY,110,10929000,0,0,,0,0,1,,,(609) 518-5400,Ronald Jackson (CEO),"Hainesport, NJ","3033 Sylon Blvd, Hainesport, NJ 08036",W W Transportation Inc(2); W & W Transportation(1),,,0,A+,1
MISSION SCHOOL TRANSPORTATION,Mission School Transportation,3,small(2-5),1,CA,CA,155,10549000,0,0,2023,1,0,0,,Atlanticexpress.Com,(562) 997-6868,Carla Bruno (President),"Long Beach, CA","2450 Long Beach Blvd, Long Beach, CA 90806",Mission School Transportation(2); Mission School TRNSPRTN Inc(1),,,0,A,1
JUPITER SCHOOL BUS SERVICE,Jupiter School Bus Svc,3,small(2-5),1,FL,FL,22,10519000,0,0,,1,0,1,,,(561) 575-9508,Danny Dempsaco (Owner),"Riviera Beach, FL","3500 Mlk Blvd # 1, Riviera Beach, FL 33404",Jupiter School Bus Svc(2); Jupiter School Bus Svc Inc(1),,,0,B+,1
M J BUS,M & J Bus Inc,3,small(2-5),1,CT,CT,133,10076000,0,0,,1,0,1,,Mjbusinc.Com,(860) 664-0505,Mike Collins (Vice President),"Clinton, CT","117 Nod Rd # A, Clinton, CT 06413",M & J Bus Inc(3),,,0,A+,1
BUSBANK,Busbank,3,small(2-5),1,IL,IL,89,9830000,0,0,2001,0,0,1,,Busbank.Com,(312) 476-6100,Don Dibrita (President),"Chicago, IL","100 S State St # 4, Chicago, IL 60603",Busbank(3),,,0,A+,1
SCHOOL BUS SERVICE,School Bus Svc,3,small(2-5),3,"FL,MI,NY",FL,210,9655000,0,0,,1,0,0,,Taylorschools.Net,Not Available,Steve Woodworth (Director),"Lehigh Acres, FL","417 Muriel St, Lehigh Acres, FL 33972",School Bus Svc(2); School Bus Svc Inc(1),,,0,B+,1
SUBURBAN SCHOOL TRANSPORTATION,Suburban School Transportation,3,small(2-5),2,"OH,MA",OH,105,9566000,0,0,2026,1,1,1,,Sstn.Com,(781) 647-3366,Arthur Bernard (President),"Waltham, MA","17 Yetten Ter, Waltham, MA 02453",Suburban School Transportation(2); Suburban School Trnsprtn Inc(1),,,0,A+,1
SUN COACH LINES,Sun Coach Lines,3,small(2-5),1,PA,PA,102,9551000,0,0,,0,0,1,,,(724) 523-3030,David Sunstein (Owner),"Adamsburg, PA","150 Asphalt Ln, Adamsburg, PA 15611",Sun Coach Lines(1); Sun Coach Lines Inc(1); Sun Coach Lines LLC(1),,,0,B+,1
FISHER BUS,Fisher Bus Inc,3,small(2-5),3,"KY,MA,NY",KY,111,9547000,0,0,1971,0,0,1,,Millertransportation.Com,(502) 267-5191,James Fisher (Owner),"Louisville, KY","10610 Moraine Cir # 110, Louisville, KY 40223",Fisher Bus Inc(2); Fisher Buses(1),,,0,A,1
VOCELL BUS,Vocell Bus Co,3,small(2-5),1,MA,MA,121,9312000,0,0,1909,1,0,1,,Vocell.Com,(781) 324-1329,Barb Goodman (CEO),"Malden, MA","378 Commercial St, Malden, MA 02148",Vocell Bus Co(3),,,0,A,1
CHARTER BUS AMERICA,Charter Bus America Inc,3,small(2-5),2,"WA,TX",WA,87,9278000,0,0,,0,0,1,,Charterbusamerica.Com,Not Available,,"Castle Hills, TX","2243 Beacon Crk, Castle Hills, TX 78213",Charter Bus America Inc(2); Charter Bus America(1),,,0,A+,1
A A TRANSPORTATION,A A Transportation Co Inc,3,small(2-5),2,"MA,IL",MA,99,8766000,0,0,1996,0,1,1,,Aatransportation.Com,(708) 849-6061,Aleesha Humphrey Dunn (Owner),"East Brookfield, MA","174 W Main St, East Brookfield, MA 01515",A A Transportation Co Inc(2); A & A Transportation(1),,,0,C+,1
YELLOW CAB,Yellow Cab Co,3,small(2-5),3,"CA,KY,NJ",CA,111,7615000,0,0,2013,0,1,1,,Dallasyellowcab.Com,(925) 425-0905,Joe Boyd (Owner),"Pleasanton, CA","4183 1st St, Pleasanton, CA 94566",Yellow Cab Co(3),,,0,B+,1
F M KUZMESKUS,F M Kuzmeskus Inc,3,small(2-5),2,"MA,VT",MA,192,7593000,0,0,2018,1,0,1,,Travelkuz.Com,(413) 529-9430,Sandy Garris (Manager),"Easthampton, MA","77 Ferry St, Easthampton, MA 01027",F M Kuzmeskus Inc(3),,,0,A,1
NORTH AMERICA CHARTER LINES,North America Charter Lines,3,small(2-5),1,IL,IL,73,7413000,0,0,2004,0,0,1,,Northamericacharter.Com,Not Available,Vince Yates (Owner),"Bolingbrook, IL","1112 W Boughton Rd, Bolingbrook, IL 60440",North America Charter Lines(3),,,0,B+,1
JAMES RIVER TRANSPORTATION,James River Transportation,3,small(2-5),1,VA,VA,183,7401000,249,63723000,1928,0,0,1,JAMES RIVER TRANSPORTATION,Jamesrivertrans.Com,(757) 853-5466,Steven Story (President),"Richmond, VA","915 N Allen Ave, Richmond, VA 23220",James River Transportation(3),,,0,A+,1
PACESETTER COACH LINES,Pacesetter Coach Lines Inc,3,small(2-5),1,OK,OK,77,7221000,0,0,1985,0,0,1,,Pacesettercoach.Com,Not Available,William Rose (CEO),"Oklahoma City, OK","3922 NW 10th St # 102nokc, Oklahoma City, OK 73107",Pacesetter Coach Lines Inc(3),,,0,A+,1
GERSHOWITZ TRANSPORTATION,Gershowitz Transportation Inc,3,small(2-5),1,NY,NY,82,7122000,0,0,,0,0,1,,Rollingv.Com,(845) 292-7566,Renee Prairie (Manager),"Liberty, NY","1784 State Route 52, Liberty, NY 12754",Gershowitz Transportation Inc(3),,,0,A,1
WESTERN STATES BUS SERVICE,Western States Bus Svc Inc,3,small(2-5),2,"ID,WA",ID,92,7016000,0,0,,0,0,1,,Midcobus.Com,(208) 543-4268,Kate Ison (Manager),"Buhl, ID","4253 N 1400 E, Buhl, ID 83316",Western States Bus Svc Inc(2); Western States Bus Svc(1),,,0,A,1
CALDWELL TRANSPORTATION,Caldwell Transportation Co Inc,3,small(2-5),1,ID,ID,161,6626000,0,0,,1,0,1,,Ctcbus.Com,(208) 587-8045,Karen Azman (Manager),"Mountain Home, ID","1050 Sunset Strip, Mountain Home, ID 83647",Caldwell Transportation Co Inc(2); Caldwell Transportation Co(1),,,0,A,1
COLONIAL COACH LINES,Colonial Coach Lines,3,small(2-5),1,IL,IL,59,6517000,0,0,,0,0,1,,Colonialcoach.Com,(847) 774-6600,Jerry Ceraboll (Owner),"Des Plaines, IL","125 Wille Rd, Des Plaines, IL 60018",Colonial Coach Lines(2); Colonial Coach Lines Inc(1),,,0,A+,1
MID AMERICA CHARTER LINES,Mid America Charter Lines Inc,3,small(2-5),1,IL,IL,58,6406000,0,0,,0,0,1,,Bus-Charter.Com,Not Available,Karen A Bingham (President),"Elk Grove Village, IL","2513 E Higgins Rd, Elk Grove Village, IL 60007",Mid America Charter Lines Inc(2); Mid-America Charter Lines Inc(1),,,0,B+,1
OTTAWA BUS SERVICE,Ottawa Bus Svc Inc,3,small(2-5),1,KS,KS,92,6222000,0,0,,1,0,1,,Crossroadtours.Com,(785) 242-7009,Daniel Newby (Owner),"Olathe, KS","1320 W 149th St, Olathe, KS 66061",Ottawa Bus Svc Inc(3),,,0,A+,1
HUNTINGTON COACH,Huntington Coach Corp,3,small(2-5),1,NY,NY,125,6101000,0,0,1926,1,0,0,,Huntingtoncoach.Com,(631) 271-8931,Brendan Clifford (Vice President),"Huntington, NY","1359 New York Ave, Huntington, NY 11743",Huntington Coach Corp(2); Huntington Coach(1),,,0,A,1
TRI STATE TRAVEL,Tri State Travel,3,small(2-5),2,"IA,IL",IA,69,5753000,0,0,1939,0,0,1,,Tristatetravel.Com,(563) 359-1682,Scott Rausch (Manager),"Davenport, IA","530 W 76th St, Davenport, IA 52806",Tri State Travel(2); Tri-State Travel(1),,,0,A,1
CYR BUS LINE,Cyr Bus Line,3,small(2-5),1,ME,ME,115,5588000,0,0,1911,1,0,1,,Johntcyrandsons.Com,(207) 942-3354,Joe Cyr (Owner),"Bangor, ME","1246 Ohio St, Bangor, ME 04401",Cyr Bus Line(3),,,0,A+,1
IFM GRACE COACH LINES,Ifm/Grace Coach Lines Inc,3,small(2-5),1,CO,CO,38,4995000,0,0,,0,0,1,,Gracecoachlines.Com,(303) 287-7605,Ben Jones (General Mgr),"Lafayette, CO","1901 S 120th St # B, Lafayette, CO 80026",Ifm/Grace Coach Lines Inc(2); Ifm Grace Coach Lines Inc(1),,,0,B+,1
WMATA ANDREWS FED CTR BUS GRGE,Wmata Andrews Fed Ctr Bus Grge,3,small(2-5),3,"DC,MD,PA",DC,97,4975000,0,0,,1,0,0,,Wmata.Com,Not Available,,"Washington, DC","800 5th St NW, Washington, DC 20001",Wmata Andrews Fed Ctr Bus Grge(3),,,0,A+,1
NORTH AMERICA CENTRAL SCHOOL BUS,North America Central Sch Bus,3,small(2-5),3,"IL,MO,OK",IL,119,4938000,0,0,,1,0,0,,Northamericacentral.Com,(630) 301-7200,,"Joliet, IL","78 N Chicago St, Joliet, IL 60432",North America Central Sch Bus(3),,,0,A+,1
SCHOOL BUS TRANSPORTATION,School Bus Transportation,3,small(2-5),2,"NC,AL",NC,123,4891000,0,0,,1,0,0,,Ncbussafety.Org,Not Available,Chad Holloman (Director),"Huntsville, AL","108 8th St NW, Huntsville, AL 35805",School Bus Transportation(2); School Bus Transportation Inc(1),,,0,A+,1
HAGEY COACH TOURS,Hagey Coach & Tours,3,small(2-5),1,PA,PA,49,4872000,0,0,2012,0,0,1,,Hagey.Com,(800) 544-2439,Linda Hagey (Owner),"Souderton, PA","210 Schoolhouse Rd, Souderton, PA 18964",Hagey Coach & Tours(3),,,0,B+,1
MTR WESTERN,MTR Western,3,small(2-5),3,"CA,OR,WA",CA,37,4841000,0,0,,0,0,1,MTR WESTERN,Mtrwestern.Com,(415) 495-4986,Larry Pattison (Manager),"Kent, WA","20830 68th Ave S, Kent, WA 98032",MTR Western(3),,,0,A+,1
AMARAL BUS,Amaral Bus Co Inc,3,small(2-5),1,MA,MA,58,4828000,0,0,,1,0,1,,Amaralcompanies.Com,(508) 999-4187,Jose C Amaral (President),"New Bedford, MA","25 Bedford St, New Bedford, MA 02740",Amaral Bus Co Inc(2); Amaral Bus Co(1),,,0,A,1
CYPRESS INDEPENDENT SCHOOL,Cypress Independent Sch,3,small(2-5),1,TX,TX,87,4818000,0,0,,1,0,0,,Cfisd.Net,Not Available,,"Houston, TX","5804 Premier St, Houston, TX 77040",Cypress Independent Sch(3),,,0,A+,1
ALEXANDRIA BUS TRAVEL,Alexandria Bus & Travel Corp,3,small(2-5),1,NJ,NJ,41,4793000,0,0,,0,0,1,,,(201) 398-9666,Gamal Elsayed (Owner),"Fair Lawn, NJ","5-24 Hazel Pl, Fair Lawn, NJ 07410",Alexandria Bus & Travel Corp(3),,,0,A+,1
KRAPF GROUP SCHOOL BUS TRANSPORTATION,Krapf Group-Sch Bus & Trnsprtn,3,small(2-5),3,"DE,NJ,PA",DE,102,4696000,0,0,,1,0,0,,Krapfbus.Com,Not Available,,"Wilmington, DE","1400 First State Blvd, Wilmington, DE 19804",Krapf Group-Sch Bus & Trnsprtn(3),,,0,A+,1
REGAL COACH LINES,Regal Coach Lines,3,small(2-5),1,IL,IL,42,4640000,0,0,2003,0,0,1,,Regalcoachlines.Com,(773) 994-0202,,"Chicago, IL","1111 W 48th St, Chicago, IL 60609",Regal Coach Lines(2); Regal Coach Lines Inc(1),,,0,A+,1
ALL BUS CHARTER,All Bus Charter Inc,3,small(2-5),1,FL,FL,48,4514000,0,0,2016,0,0,1,,,Not Available,Triska Wagner Jr (Owner),"Orlando, FL","2904 Rollman Rd, Orlando, FL 32837",All Bus Charter Inc(3),,,0,B,1
OMEGA BUS CHARTER RENTAL,Omega Bus Charter Rental,3,small(2-5),2,"NY,NJ",NY,40,4330000,0,0,,0,0,1,,Omegaexpressltd.Com,Not Available,,"Jersey City, NJ","648 Montgomery St, Jersey City, NJ 07306",Omega Bus Charter Rental(3),,,0,A+,1
NEW YORK CHARTER BUS,New York Charter Bus Co,3,small(2-5),1,NY,NY,28,4125000,0,0,2010,0,0,1,,Nyccharterbuscompany.Com,(917) 388-9602,Ryan Long (Other),"New York, NY","309 E 14th St # 2, New York, NY 10003",New York Charter Bus Co(3),,,0,B+,1
SCHOOL DISTRICT 141 CHISAGO,School Dist 141 Chisago,3,small(2-5),2,"MN,CA",MN,91,4080000,0,0,,1,0,0,,Isd2144.Org,Not Available,,"Santa Monica, CA","1733 Ocean Ave, Santa Monica, CA 90401",School Dist 141 Chisago(3),,,0,A+,1
HANDI VAN,Handi Van Inc,3,small(2-5),2,"FL,UT",FL,60,3939000,0,0,1984,0,1,0,,Handivan.Com,(305) 751-1236,Diana Fletcher (Manager),"Miami, FL","55 NW 119th St, Miami, FL 33168",Handi Van Inc(2); Handi Van(1),,,0,A,1
ANCHOR TRANSPORTATION,Anchor Transportation,3,small(2-5),3,"AL,KY,TN",AL,50,3915000,0,0,,0,0,1,ANCHOR TRANSPORTATION,Anchortransportation.Com,(256) 383-6220,Ray Basden (Manager),"Louisville, KY","145 Carter Ave # B, Louisville, KY 40229",Anchor Transportation(3),,,0,A+,1
ECCO RIDE,Ecco Ride,3,small(2-5),3,"LA,MO,MS",LA,69,3900000,0,0,2022,1,0,1,,Eccoride.Com,(318) 352-6465,Wanda Fools (Manager),"Natchitoches, LA","300 Parkway Dr, Natchitoches, LA 71457",Ecco Ride(3),,,0,A+,1
CARRIER COACH,Carrier Coach Inc,3,small(2-5),1,NY,NY,61,3888000,0,0,1973,1,0,1,,Carriercoach.Com,Not Available,Alan Miller (Owner),"Buffalo, NY","3999 Lake Shore Rd # 1, Buffalo, NY 14219",Carrier Coach Inc(3),,,0,A+,1
DUFOUR ESCORTED TOURS,Dufour Escorted Tours Inc,3,small(2-5),2,"MA,IL",MA,67,3880000,0,0,,1,0,1,,Dufourtours.Com,(847) 916-9300,Richard Larkin (Manager),"Franklin Park, IL","9377 Grand Ave, Franklin Park, IL 60131",Dufour Escorted Tours Inc(3),,,0,B,1
TROOPS INTO TRANSPORTATION CDL,Troops Into Trnsprtn-THE Cdl,3,small(2-5),3,"FL,NY,VA",FL,88,3874000,0,0,,1,0,0,,Cdlschool.Com,Not Available,,"Miami, FL","7800 NW 27th Ave, Miami, FL 33147",Troops Into Trnsprtn-THE Cdl(3),,,0,A+,1
CITY COACHWAYS,City Coachways Inc,3,small(2-5),1,VA,VA,35,3818000,0,0,2016,0,0,1,,,Not Available,Wissam El-Gharib (Owner),"Fairfax, VA","9387 Route 29, Fairfax, VA 22031",City Coachways Inc(2); City Coachways LLC(1),,,0,B,1
ATEL BUS TRUCK SERVICE CTR,ATEL Bus & Truck Svc Ctr,3,small(2-5),3,"KS,KY,MD",KS,92,3809000,0,0,,1,0,0,,Atelbus.Com,Not Available,,"Russell, KS","1627 N Brooks St, Russell, KS 67665",ATEL Bus & Truck Svc Ctr(3),,,0,A+,1
RETHINK64 BIONETWORKS PBC,Rethink64 Bionetworks PBC,3,small(2-5),2,"CA,NY",CA,79,3750000,0,0,,1,0,0,,,Not Available,,"Fremont, CA","46309 Warm Springs Blvd, Fremont, CA 94539",Rethink64 Bionetworks PBC(3),,,0,A+,1
BUS CHARTERS,Bus Charters,3,small(2-5),2,"PA,NY",PA,38,3689000,0,0,,0,0,1,,,Not Available,,"Jamaica, NY","15232 Rockaway Blvd # 205, Jamaica, NY 11434",Bus Charters(2); Bus Charters Inc(1),,,0,A+,1
NORTHLAND BUS SERVICE,Northland Bus Svc Inc,3,small(2-5),2,"ND,FL",ND,86,3687000,0,0,,1,0,0,,Progressivepediatric.Org,Not Available,Steve Lesmeister (Manager),"Tallahassee, FL","1717 Hermitage Blvd, Tallahassee, FL 32308",Northland Bus Svc Inc(3),,,0,A+,1
ROYAL COACH LINES,Royal Coach Lines,3,small(2-5),1,NY,NY,49,3606000,0,0,1950,1,0,1,,Royalcoachlines.Com,(914) 365-1890,Rosa Ibacache (Operations),"Elmsford, NY","2260 Saw Mill River Rd, Elmsford, NY 10523",Royal Coach Lines(2); Royal Coach Lines Inc(1),,,0,A,1
COLLINS BUS SERVICE,Collins Bus Svc,3,small(2-5),2,"CT,TX",CT,37,3580000,0,0,1912,0,0,1,,Postroadstages.Com,(860) 644-1532,Bruce Snow (President),"South Windsor, CT","1105 Strong Rd # 2, South Windsor, CT 06074",Collins Bus Svc(2); Collins Bus Svc Inc(1),,,0,A+,1
TAYLORS BUS CTR,Taylors Bus Ctr,3,small(2-5),1,SC,SC,85,3566000,0,0,,1,0,0,,Greenville.K12.Sc.Us,Not Available,John Mccuen (Owner),"Greenville, SC","301 E Camperdown Way, Greenville, SC 29601",Taylors Bus Ctr(3),,,0,A+,1
HARTLEYS SCHOOL BUS,Hartleys School Bus Inc,3,small(2-5),3,"GA,MO,TX",GA,89,3470000,0,0,,1,0,0,,Hartleysschoolbuses.Com,Not Available,,"Snellville, GA","4034 Waters End Ln, Snellville, GA 30039",Hartleys School Bus Inc(3),,,0,A+,1
BOWENS BUS SERVICE,Bowens Bus Svc,3,small(2-5),2,"MD,WV",MD,80,3470000,0,0,,1,0,0,,Bowensbusservice.Com,Not Available,,"Baltimore, MD","3910 Dudley Ave, Baltimore, MD 21213",Bowens Bus Svc(3),,,0,A+,1
SCHOHARIE COUNTY PUBC TRANSPORTATION,Schoharie County Pubc Trnsprtn,3,small(2-5),2,"NY,KY",NY,82,3441000,0,0,,1,0,0,,Globalflowinc.Com,Not Available,,"Franklin, KY","430 S College St, Franklin, KY 42134",Schoharie County Pubc Trnsprtn(3),,,0,A+,1
RANDY SMALL TRANSPORTATION,Randy Small Transportation,3,small(2-5),1,MO,MO,62,3441000,0,0,,0,0,1,,,(660) 584-7121,Rick Tice (Manager),"Higginsville, MO","3000 Commercial St # 105, Higginsville, MO 64037",Randy Small Transportation(3),,,0,A,1
F S TRANSPORTATION,F & S Transportation,3,small(2-5),1,PA,PA,60,3420000,0,0,1975,1,0,1,,Hr31480.Wixsite.Com,(717) 737-5626,Lea Newcomer (Owner),"Manchester, PA","37 S Main St, Manchester, PA 17345",F & S Transportation(3),,,0,A,1
