rank,score,canonical_name,primary_state,hq,size_tier,locations,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,credit_score,data_confidence,rationale,sample_address,_sf,_su,_ql,_ind,_rel
1,98.5,Northstar Bus Lines LLC,MN,"Maple Grove, MN",single,1,200,10161000,1962,1,0,Northstarbuslines.Com,(763) 425-2542,Matt Regan (Owner),A+,1.0,200 emp; $10.2M rev; est 1962 (64y); single; web+phone; school,"11800 95th Ave N, Maple Grove, MN 55369",100,100,100,100,90
1204,80.5,Marias School Bus Svc,TX,"Houston, TX",single,1,32,1772000,,1,0,,Not Available,,A+,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"14414 Essendine Ln, Houston, TX 77045",100,50,60,100,90
1205,80.5,Najera's School Bus Svc,TX,"Houston, TX",single,1,32,1772000,,1,0,,Not Available,Patricia Nieto (Owner),A,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"1021 Carby Rd, Houston, TX 77037",100,50,60,100,90
1206,80.5,Ramirez School Bus Svc,TX,"Houston, TX",single,1,32,1772000,,1,0,,Not Available,Irene S Ramirez (Owner),A,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"3827 Ripplebrook Dr, Houston, TX 77045",100,50,60,100,90
1207,80.5,Renae's One Stop Bus Ctr,TX,"Houston, TX",single,1,32,1772000,,1,0,,Not Available,Belinda Pelican (Owner),A,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"3321 Liberty Rd, Houston, TX 77026",100,50,60,100,90
1208,80.5,Ricky's School Bus Svc,TX,"Houston, TX",single,1,32,1772000,,1,0,,(713) 691-2457,Ricardo Arriata (Manager),A+,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"2509 Sadler St, Houston, TX 77093",100,50,60,100,90
1209,80.5,Russian American Bus,TX,"Houston, TX",single,1,32,1772000,,1,0,,(281) 280-8912,Serguei Toumanov (Principal),A,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"13719 Shadow Falls Ct, Houston, TX 77059",100,50,60,100,90
1210,80.5,Yederlin's Bus School Trnsprtn,TX,"Houston, TX",single,1,32,1772000,,1,0,,Not Available,Francisco Anastasio Reyn (Owner),A,0.5,32 emp; $1.8M rev; year n/a; single; phone; school,"319 Rosamond St, Houston, TX 77076",100,50,60,100,90
1211,80.5,Little Falls Bus Corp,NY,"Saint Johnsville, NY",single,1,45,1768000,,1,0,,(518) 568-2684,,A+,0.5,45 emp; $1.8M rev; year n/a; single; phone; school,"7893 State Highway 5, Saint Johnsville, NY 13452",100,50,60,100,90
1212,80.5,Upstream USA Inc Which Will Do,MA,"Boston, MA",single,1,27,1762000,,1,0,,Not Available,,A+,0.5,27 emp; $1.8M rev; year n/a; single; phone; school,"2 Oliver St # 402, Boston, MA 02109",100,50,60,100,90
1213,80.5,5 On 4 Wheels Trnsprtn LLC,NC,"Greensboro, NC",single,1,42,1762000,,1,0,,Not Available,,A+,0.5,42 emp; $1.8M rev; year n/a; single; phone; school,"1508 Hooks St, Greensboro, NC 27401",100,50,60,100,90
1214,80.5,Birchwood Bus Svc Inc,WI,"Hayward, WI",single,1,42,1762000,,1,0,,Not Available,,A+,0.5,42 emp; $1.8M rev; year n/a; single; phone; school,"10293n N Greenwood Ln, Hayward, WI 54843",100,50,60,100,90
1215,80.5,Big Apple Bus Inc,NY,"Inwood, NY",single,1,36,1760000,,1,0,,Not Available,,A+,0.5,36 emp; $1.8M rev; year n/a; single; phone; school,"141 Lawrence Ave, Inwood, NY 11096",100,50,60,100,90
1216,80.5,Boyd Enterprises Inc Which,CA,"Tulare, CA",single,1,44,1758000,,1,0,,Not Available,,A+,0.5,44 emp; $1.8M rev; year n/a; single; phone; school,"3615 S K St, Tulare, CA 93274",100,50,60,100,90
1217,80.5,School Bus Safety Inc,NC,"Raleigh, NC",single,1,38,1756000,,1,0,,Not Available,,A+,0.5,38 emp; $1.8M rev; year n/a; single; phone; school,"1316 S Blount St, Raleigh, NC 27601",100,50,60,100,90
1218,80.5,Bo Tai Group Which Will Do Bus,CA,"Santa Ana, CA",single,1,35,1754000,,1,0,,Not Available,Yong Han (Manager),A+,0.5,35 emp; $1.8M rev; year n/a; single; phone; school,"1921 Carnegie Ave # 3g, Santa Ana, CA 92705",100,50,60,100,90
1219,80.5,Fahrenheit Inc Which Will Do,CA,"Beverly Hills, CA",single,1,35,1754000,,1,0,,Not Available,,A+,0.5,35 emp; $1.8M rev; year n/a; single; phone; school,"8383 Wilshire Blvd # 400, Beverly Hills, CA 90211",100,50,60,100,90
1220,80.5,Jasmine Systems Inc Which Will,CA,"Torrance, CA",single,1,35,1754000,,1,0,,Not Available,,A+,0.5,35 emp; $1.8M rev; year n/a; single; phone; school,"2960 W 235th St # 14, Torrance, CA 90505",100,50,60,100,90
1221,80.5,Medreportguard PBC Which Will,CA,"Westlake Village, CA",single,1,35,1754000,,1,0,,Not Available,,A+,0.5,35 emp; $1.8M rev; year n/a; single; phone; school,"5716 Corsa Ave # 110, Westlake Village, CA 91362",100,50,60,100,90
1222,80.5,Mythical Inc Which Will Do Bus,CA,"Sherman Oaks, CA",single,1,35,1754000,,1,0,,Not Available,Jamie Jackson (Other),A+,0.5,35 emp; $1.8M rev; year n/a; single; phone; school,"15260 Ventura Blvd # 1410, Sherman Oaks, CA 91403",100,50,60,100,90
1223,80.5,Saferide Inc Which Will Do Bus,CA,"Culver City, CA",single,1,35,1754000,,1,0,,Not Available,,A+,0.5,35 emp; $1.8M rev; year n/a; single; phone; school,"6125 Washington Blvd # 2, Culver City, CA 90232",100,50,60,100,90
1224,80.5,Freeman Bus Corp,NY,"Philadelphia, NY",single,1,45,1750000,,1,0,,(315) 642-0413,Robert Freeman (Exec Officer),A+,0.5,45 emp; $1.8M rev; year n/a; single; phone; school,"32780 Route 11, Philadelphia, NY 13673",100,50,60,100,90
1225,80.5,Naz Bus LLC,TX,"Euless, TX",single,1,36,1750000,,1,0,,Not Available,Mohammed Ali (Owner),A,0.5,36 emp; $1.8M rev; year n/a; single; phone; school,"211 Nutmeg Ln, Euless, TX 76039",100,50,60,100,90
1226,80.5,Myers Bus Parts & Supply Co,OH,"Canfield, OH",single,1,50,1749000,,1,0,,(330) 533-2275,David Myers (President),A,0.5,50 emp; $1.7M rev; year n/a; single; phone; school,"8860 Akron Canfield Rd, Canfield, OH 44406",100,50,60,100,90
1227,80.5,Acme Art Co,OH,"Columbus, OH",single,1,38,1746000,,1,0,,(614) 252-5060,,A,0.5,38 emp; $1.7M rev; year n/a; single; phone; school,"2470 Brintnell Leonard Ave, Columbus, OH 43219",100,50,60,100,90
1228,80.5,Stier Bus Co,MN,"Belle Plaine, MN",single,1,45,1730000,,1,0,,(952) 873-2362,Ben Stier (Manager),A+,0.5,45 emp; $1.7M rev; year n/a; single; phone; school,"406 S Meridian St, Belle Plaine, MN 56011",100,50,60,100,90
1229,80.5,H H Bus Svc Inc,MD,"Bryans Road, MD",single,1,45,1729000,,1,0,,(301) 375-7003,Beverly Hill (Owner),A+,0.5,45 emp; $1.7M rev; year n/a; single; phone; school,"2890 Camp Hedges Pl, Bryans Road, MD 20616",100,50,60,100,90
1230,80.5,Mckinley & City Line Bus Co,PA,"Philadelphia, PA",single,1,36,1728000,,1,0,,Not Available,,A+,0.5,36 emp; $1.7M rev; year n/a; single; phone; school,"4341 N 7th St, Philadelphia, PA 19140",100,50,60,100,90
1231,80.5,Ecmc Diversified Inc Which,CA,"Beaumont, CA",single,1,42,1726000,,1,0,,Not Available,,A+,0.5,42 emp; $1.7M rev; year n/a; single; phone; school,"962 Gleneagles Rd, Beaumont, CA 92223",100,50,60,100,90
1232,80.5,Transportation-Jefferson Cnty,ID,"Lewisville, ID",single,1,65,1725000,,1,0,,(208) 754-8211,Ron Smith (Finance Exec),A+,0.5,65 emp; $1.7M rev; year n/a; single; phone; school,"504 N 3500 E, Lewisville, ID 83431",100,50,60,100,90
1233,80.5,IPG-USA Inc Which Will Do Bus,CA,"Oakland, CA",single,1,35,1722000,,1,0,,Not Available,,A+,0.5,35 emp; $1.7M rev; year n/a; single; phone; school,"180 Grand Ave # 900, Oakland, CA 94612",100,50,60,100,90
1234,80.5,Kauffman Bus Svc Inc,PA,"Mechanicsburg, PA",single,1,42,1721000,,1,0,,(717) 737-3396,Jason Petroff (Manager),A+,0.5,42 emp; $1.7M rev; year n/a; single; phone; school,"1565 Jerusalem Rd, Mechanicsburg, PA 17050",100,50,60,100,90
1235,80.5,A Story Time Inc Which Will Do,CA,"San Francisco, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"16 Fairmount St, San Francisco, CA 94131",100,50,60,100,90
1236,80.5,Anthropic PBC Which Will Do,CA,"San Anselmo, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"12 Calumet Ave, San Anselmo, CA 94960",100,50,60,100,90
1237,80.5,Artifact Co Inc Which Will Do,CA,"San Francisco, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"85 Santa Rita Ave, San Francisco, CA 94116",100,50,60,100,90
1238,80.5,Baraja Inc Which Will Do Bus,CA,"San Francisco, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"466 8th St # 102, San Francisco, CA 94103",100,50,60,100,90
1239,80.5,Choice Inc Which Will Do Bus,CA,"San Francisco, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"547 45th Ave, San Francisco, CA 94121",100,50,60,100,90
1240,80.5,Luka Inc Which Will Do Bus,CA,"San Francisco, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"600 Arkansas St, San Francisco, CA 94107",100,50,60,100,90
1241,80.5,Reed Communications Inc Which,CA,"San Rafael, CA",single,1,41,1720000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"115 Du Bois St, San Rafael, CA 94901",100,50,60,100,90
1242,80.5,Park Management Inc Which Will,AZ,"Tempe, AZ",single,1,38,1717000,,1,0,,Not Available,Kim Eggleston (Other),A+,0.5,38 emp; $1.7M rev; year n/a; single; phone; school,"2141 E Broadway Rd # 105, Tempe, AZ 85282",100,50,60,100,90
1243,80.5,Briar Forest School Bus Svc,TX,"Houston, TX",single,1,31,1717000,,1,0,,Not Available,Youssef Bernawi (Owner),A,0.5,31 emp; $1.7M rev; year n/a; single; phone; school,"13019 Wickersham Ln, Houston, TX 77077",100,50,60,100,90
1244,80.5,Kaylynn School Bus Svc,TX,"Houston, TX",single,1,31,1717000,,1,0,,Not Available,Nora M Charmaine (Owner),A,0.5,31 emp; $1.7M rev; year n/a; single; phone; school,"14811 Winterfair Dr, Houston, TX 77082",100,50,60,100,90
1245,80.5,Envap Buenviaje-SMITH PC Which,CA,"Rancho Cucamonga, CA",single,1,41,1714000,,1,0,,(909) 782-8540,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"12668 Cambria Dr, Rancho Cucamonga, CA 91739",100,50,60,100,90
1246,80.5,Golden Marks Inc Which Will Do,CA,"Santa Monica, CA",single,1,16,1704000,,1,0,,Not Available,,A,0.5,16 emp; $1.7M rev; year n/a; single; phone; school,"401 Wilshire Blvd # 12, Santa Monica, CA 90401",100,50,60,100,90
1247,80.5,Central Bucks Trnsprtn Inc,PA,"Trevose, PA",single,1,40,1697000,,1,0,,(215) 357-0860,,A,0.5,40 emp; $1.7M rev; year n/a; single; phone; school,"104 Sterner Mill Rd, Trevose, PA 19053",100,50,60,100,90
1248,80.5,Huettl Bus,WI,"Seymour, WI",single,1,40,1693000,,1,0,,(920) 833-2381,Mike Huettl (Owner),A,0.5,40 emp; $1.7M rev; year n/a; single; phone; school,"PO Box 127, Seymour, WI 54165",100,50,60,100,90
1249,80.5,Amtronix Inc Which Will Do Bus,CA,"Corona, CA",single,1,41,1685000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"3010 Pembroke Cir, Corona, CA 92879",100,50,60,100,90
1250,80.5,JS Investments-Il Inc Which,CA,"Rancho Mirage, CA",single,1,41,1685000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"232 Loch Lomond Rd, Rancho Mirage, CA 92270",100,50,60,100,90
1251,80.5,Vital Enterprises Inc Which,NY,"South Salem, NY",single,1,33,1682000,,1,0,,Not Available,,A+,0.5,33 emp; $1.7M rev; year n/a; single; phone; school,"11 Roads End Rd, South Salem, NY 10590",100,50,60,100,90
1252,80.5,Gale Inc Which Will Do Bus,CA,"Placerville, CA",single,1,40,1678000,,1,0,,Not Available,,A+,0.5,40 emp; $1.7M rev; year n/a; single; phone; school,"2217 Mulberry Ln, Placerville, CA 95667",100,50,60,100,90
1253,80.5,Rebel Girls Inc Which Will Do,CA,"Larkspur, CA",single,1,16,1678000,,1,0,,Not Available,,A,0.5,16 emp; $1.7M rev; year n/a; single; phone; school,"421 Elm Ave, Larkspur, CA 94939",100,50,60,100,90
1254,80.5,Lincoln Square Bus Imprvmt DST,NY,"New York, NY",single,1,40,1678000,,1,0,,(212) 581-3848,Blum Monica (Owner),A,0.5,40 emp; $1.7M rev; year n/a; single; phone; school,"184 Broadway # 1112, New York, NY 10038",100,50,60,100,90
1255,80.5,Quetzal Corp Which Will Do Bus,CA,"Fontana, CA",single,1,40,1672000,,1,0,,Not Available,,A+,0.5,40 emp; $1.7M rev; year n/a; single; phone; school,"6221 Hetty St, Fontana, CA 92336",100,50,60,100,90
1256,80.5,Thunderbolt Which Will Do Bus,IN,"Fishers, IN",single,1,41,1672000,,1,0,,Not Available,,A+,0.5,41 emp; $1.7M rev; year n/a; single; phone; school,"12690 Touchdown Dr, Fishers, IN 46037",100,50,60,100,90
1257,80.5,Pride Academy Trnsprtn LLC,IN,"Indianapolis, IN",single,1,35,1664000,,1,0,,Not Available,Marvin D Dumes (Manager),A+,0.5,35 emp; $1.7M rev; year n/a; single; phone; school,"736 Sunridge Ct, Indianapolis, IN 46239",100,50,60,100,90
1258,80.5,Oasis-Ca Inc Which Will Do Bus,TX,"Houston, TX",single,1,30,1661000,,1,0,,Not Available,,A+,0.5,30 emp; $1.7M rev; year n/a; single; phone; school,"11 Greenway Plz # 2400, Houston, TX 77046",100,50,60,100,90
1259,80.5,Credo360 Inc Which Will Do Bus,CA,"San Diego, CA",single,1,35,1659000,,1,0,,Not Available,,A+,0.5,35 emp; $1.7M rev; year n/a; single; phone; school,"14686 Via Fiesta # 5, San Diego, CA 92127",100,50,60,100,90
1260,80.5,Rayle NV Inc Which Will Do Bus,CA,"Escondido, CA",single,1,35,1659000,,1,0,,Not Available,,A+,0.5,35 emp; $1.7M rev; year n/a; single; phone; school,"365 W 2nd Ave # 215, Escondido, CA 92025",100,50,60,100,90
1261,80.5,Mini School Bus Svc,FL,"Royal Palm Beach, FL",single,1,36,1652000,,1,0,,Not Available,Merline P Noel (Manager),A+,0.5,36 emp; $1.7M rev; year n/a; single; phone; school,"360 Sandpiper Ave, Royal Palm Beach, FL 33411",100,50,60,100,90
1262,80.5,Access Solutions PBC Which,CA,"Sun City, CA",single,1,40,1644000,,1,0,,Not Available,,A+,0.5,40 emp; $1.6M rev; year n/a; single; phone; school,"29147 Prestwick Rd, Sun City, CA 92586",100,50,60,100,90
1263,80.5,Home Innovations Inc Which,CA,"Temecula, CA",single,1,40,1644000,,1,0,,Not Available,,A+,0.5,40 emp; $1.6M rev; year n/a; single; phone; school,"27402 Blackstone Rd, Temecula, CA 92591",100,50,60,100,90
1264,80.5,Watson Co Inc Which Will Do,CA,"Bermuda Dunes, CA",single,1,40,1644000,,1,0,,(760) 200-5805,Gwynneth F Watson (Operations),A+,0.5,40 emp; $1.6M rev; year n/a; single; phone; school,"42419 Adams St # 24, Bermuda Dunes, CA 92203",100,50,60,100,90
1265,80.5,KIK School Bus Svc Corp,FL,"Miramar, FL",single,1,36,1637000,,1,0,,Not Available,,A+,0.5,36 emp; $1.6M rev; year n/a; single; phone; school,"13213 SW 51st St, Miramar, FL 33027",100,50,60,100,90
1266,80.5,Redjay Inc Which Will Do Bus,CA,"San Francisco, CA",single,1,39,1636000,,1,0,,Not Available,,A+,0.5,39 emp; $1.6M rev; year n/a; single; phone; school,"546 11th Ave, San Francisco, CA 94118",100,50,60,100,90
1267,80.5,Witzel Bus Svc Inc,MN,"Fulda, MN",single,1,39,1636000,,1,0,,Not Available,James Witzel (Manager),A+,0.5,39 emp; $1.6M rev; year n/a; single; phone; school,"PO Box 383, Fulda, MN 56131",100,50,60,100,90
1268,80.5,Black Hawk Community Bus Inc,MS,"Coila, MS",single,1,39,1636000,,1,0,,Not Available,,A+,0.5,39 emp; $1.6M rev; year n/a; single; phone; school,"General Delivery, Coila, MS 38923",100,50,60,100,90
1269,80.5,Vibrant Planet PBC Which Will,NV,"Incline Village, NV",single,1,38,1636000,,1,0,,Not Available,,A+,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"1314 Tirol Dr, Incline Village, NV 89451",100,50,60,100,90
1270,80.5,JG Us Inc Which Will Do Bus,SC,"Daniel Island, SC",single,1,43,1632000,,1,0,,Not Available,Jon Olson (Other),A+,0.5,43 emp; $1.6M rev; year n/a; single; phone; school,"65 Fairchild St, Daniel Island, SC 29492",100,50,60,100,90
1271,80.5,Tri-County Bus Inc,PA,"Cranberry Township, PA",single,1,44,1628000,,1,0,,Not Available,Paul M Sweeney (President),A+,0.5,44 emp; $1.6M rev; year n/a; single; phone; school,"9013 Marshall Rd, Cranberry Township, PA 16066",100,50,60,100,90
1272,80.5,Cram 101 Inc Which Will Do Bus,CA,"Camarillo, CA",single,1,34,1616000,,1,0,,Not Available,,A+,0.5,34 emp; $1.6M rev; year n/a; single; phone; school,"1320 Flynn Rd # C, Camarillo, CA 93012",100,50,60,100,90
1273,80.5,Dothan Bus Station LLC,AL,"Dothan, AL",single,1,42,1613000,,1,0,,Not Available,,A+,0.5,42 emp; $1.6M rev; year n/a; single; phone; school,"2190 Ross Clark Cir, Dothan, AL 36301",100,50,60,100,90
1274,80.5,London Bus Food LLC,TX,"North Richland Hills, TX",single,1,33,1604000,,1,0,,Not Available,,A,0.5,33 emp; $1.6M rev; year n/a; single; phone; school,"8000 Bedford Euless Rd, North Richland Hills, TX 76180",100,50,60,100,90
1275,80.5,CMR Inc Which Will Do Bus,CA,"Palm Springs, CA",single,1,39,1603000,,1,0,,Not Available,,A+,0.5,39 emp; $1.6M rev; year n/a; single; phone; school,"3084 Linea Ter, Palm Springs, CA 92264",100,50,60,100,90
1276,80.5,Better Bus Svc,FL,"Homestead, FL",single,1,36,1600000,,1,0,,Not Available,,A+,0.5,36 emp; $1.6M rev; year n/a; single; phone; school,"15866 SW 284th St, Homestead, FL 33033",100,50,60,100,90
1277,80.5,BTT United Bus Svc,FL,"Miami Gardens, FL",single,1,36,1600000,,1,0,,Not Available,,A+,0.5,36 emp; $1.6M rev; year n/a; single; phone; school,"19385 NW 54th Ct, Miami Gardens, FL 33055",100,50,60,100,90
1278,80.5,Slater School Bus Lines Inc,PA,"Bethel Park, PA",single,1,36,1596000,,1,0,,Not Available,,A+,0.5,36 emp; $1.6M rev; year n/a; single; phone; school,"3064 Industrial Blvd, Bethel Park, PA 15102",100,50,60,100,90
1279,80.5,Administrative Resources Inc,CA,"Pollock Pines, CA",single,1,38,1594000,,1,0,,Not Available,,A+,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"5642 Pine Haven Dr, Pollock Pines, CA 95726",100,50,60,100,90
1280,80.5,Potlatch Inc Which Will Do Bus,CA,"San Francisco, CA",single,1,38,1594000,,1,0,,Not Available,,A+,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"1160 Battery St # 100, San Francisco, CA 94111",100,50,60,100,90
1281,80.5,Oats Transportation Inc,MO,"Saint Joseph, MO",single,1,38,1594000,,1,0,,(660) 562-2457,,A,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"1306 S 58th St, Saint Joseph, MO 64507",100,50,60,100,90
1282,80.5,Urbina Inc Which Will Do Bus,NV,"Las Vegas, NV",single,1,35,1594000,,1,0,,Not Available,,A+,0.5,35 emp; $1.6M rev; year n/a; single; phone; school,"1810 E Sahara Ave # 195-212, Las Vegas, NV 89104",100,50,60,100,90
1283,80.5,Lane Cindy Bus Svc,TN,"Smyrna, TN",single,1,38,1594000,,1,0,,Not Available,,A+,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"117 Winchester Ln, Smyrna, TN 37167",100,50,60,100,90
1284,80.5,OK City Bus Inc,OK,"Oklahoma City, OK",single,1,37,1593000,,1,0,,Not Available,,A+,0.5,37 emp; $1.6M rev; year n/a; single; phone; school,"3001 N Classen Blvd, Oklahoma City, OK 73106",100,50,60,100,90
1285,80.5,Newtrend USA Co LTD Which Will,CA,"Chino Hills, CA",single,1,38,1588000,,1,0,,Not Available,,A+,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"16112 Sereno Ln, Chino Hills, CA 91709",100,50,60,100,90
1286,80.5,Tla School Bus Co Inc,NY,"Yonkers, NY",single,1,31,1580000,,1,0,,Not Available,,A+,0.5,31 emp; $1.6M rev; year n/a; single; phone; school,"38 Buena Vista Ave # 17, Yonkers, NY 10701",100,50,60,100,90
1287,80.5,Herman Corp Which Will Do Bus,NE,"Bennington, NE",single,1,36,1570000,,1,0,,Not Available,,A+,0.5,36 emp; $1.6M rev; year n/a; single; phone; school,"11923 N 173rd Cir, Bennington, NE 68007",100,50,60,100,90
1288,80.5,Execucorp Inc Which Will Do,CA,"Thousand Oaks, CA",single,1,33,1569000,,1,0,,Not Available,,A+,0.5,33 emp; $1.6M rev; year n/a; single; phone; school,"275 E Hillcrest Dr # 115, Thousand Oaks, CA 91360",100,50,60,100,90
1289,80.5,Children Are Our Future Will,CA,"Santa Cruz, CA",single,1,35,1564000,,1,0,,Not Available,,A+,0.5,35 emp; $1.6M rev; year n/a; single; phone; school,"232 Walk Cir, Santa Cruz, CA 95060",100,50,60,100,90
1290,80.5,Northstar Bus,NY,"Brooklyn, NY",single,1,40,1563000,,1,0,,(718) 567-7500,,A,0.5,40 emp; $1.6M rev; year n/a; single; phone; school,"9804 Ditmas Ave, Brooklyn, NY 11236",100,50,60,100,90
1291,80.5,Central PA Honor Bus Inc,PA,"Mechanicsburg, PA",single,1,38,1557000,,1,0,,Not Available,,A+,0.5,38 emp; $1.6M rev; year n/a; single; phone; school,"1731 S York St, Mechanicsburg, PA 17055",100,50,60,100,90
1292,80.5,Offscreen Inc Which Will Do,CA,"Sherman Oaks, CA",single,1,31,1554000,,1,0,,Not Available,,A+,0.5,31 emp; $1.6M rev; year n/a; single; phone; school,"4709 Lemona Ave, Sherman Oaks, CA 91403",100,50,60,100,90
1293,80.5,Inpulse Inc Which Will Do Bus,CA,"San Francisco, CA",single,1,37,1553000,,1,0,,Not Available,,A+,0.5,37 emp; $1.6M rev; year n/a; single; phone; school,"70 Parkridge Dr, San Francisco, CA 94131",100,50,60,100,90
1294,80.5,Dial-A-Bus,OR,"Corvallis, OR",single,1,37,1553000,,1,0,,(541) 753-5746,,A,0.5,37 emp; $1.6M rev; year n/a; single; phone; school,"2595 NW Tyler Ave, Corvallis, OR 97330",100,50,60,100,90
1295,80.5,Pocono Express Bus Co,PA,"Tobyhanna, PA",single,1,37,1553000,,1,0,,Not Available,Donna M Donnery (Owner),A+,0.5,37 emp; $1.6M rev; year n/a; single; phone; school,"4569 Briarcliff Ter, Tobyhanna, PA 18466",100,50,60,100,90
1296,80.5,SVP I Inc Which Will Do Bus,PA,"Pittsburgh, PA",single,1,35,1552000,,1,0,,Not Available,,A+,0.5,35 emp; $1.6M rev; year n/a; single; phone; school,"2 Beta Dr, Pittsburgh, PA 15238",100,50,60,100,90
1297,80.5,School Run Bus Svc,TX,"Houston, TX",single,1,28,1551000,,1,0,,Not Available,Michael Nathan (Owner),A,0.5,28 emp; $1.6M rev; year n/a; single; phone; school,"11685 Alief Clodine Rd # 54, Houston, TX 77082",100,50,60,100,90
1298,80.5,Synergy Auto Bus,TX,"Houston, TX",single,1,28,1551000,,1,0,,Not Available,Festus C Nwachukwu (Owner),A,0.5,28 emp; $1.6M rev; year n/a; single; phone; school,"14403 Ella Blvd # 1306, Houston, TX 77014",100,50,60,100,90
1299,80.5,Bus Station Inc,OK,"Tulsa, OK",single,1,35,1547000,,1,0,,Not Available,,A+,0.5,35 emp; $1.5M rev; year n/a; single; phone; school,"4401 S Harvard Ave, Tulsa, OK 74135",100,50,60,100,90
1300,80.5,Seal-Tech Inc Which Will Do,CA,"Ripon, CA",single,1,36,1542000,,1,0,,Not Available,,A+,0.5,36 emp; $1.5M rev; year n/a; single; phone; school,"1308 Tasha Dr, Ripon, CA 95366",100,50,60,100,90
1301,80.5,Yakelin Marrero Sch Trnsprtn,CO,"Colorado Springs, CO",single,1,35,1537000,,1,0,,Not Available,,A+,0.5,35 emp; $1.5M rev; year n/a; single; phone; school,"2007 Kodiak Dr, Colorado Springs, CO 80910",100,50,60,100,90
1302,80.5,Keller Edwin A Bus Svc,MD,"Waldorf, MD",single,1,40,1537000,,1,0,,(301) 645-5166,Edwin Keller (Owner),A+,0.5,40 emp; $1.5M rev; year n/a; single; phone; school,"4426 Gallant Green Rd, Waldorf, MD 20601",100,50,60,100,90
1303,80.5,Compose Inc Which Will Do Bus,PA,"Blue Bell, PA",single,1,33,1530000,,1,0,,Not Available,,A+,0.5,33 emp; $1.5M rev; year n/a; single; phone; school,"1787 Sentry Pkwy W # 18-200, Blue Bell, PA 19422",100,50,60,100,90
1304,80.5,Briarcliff Bus Co Inc,NY,"Ossining, NY",single,1,30,1529000,,1,0,,(914) 941-5139,George Borho (Owner),A+,0.5,30 emp; $1.5M rev; year n/a; single; phone; school,"3 Kemeys Ave, Ossining, NY 10562",100,50,60,100,90
1305,80.5,Bevy Collegiate Bus Svc LLC,WI,"Milwaukee, WI",single,1,37,1523000,,1,0,,Not Available,,A+,0.5,37 emp; $1.5M rev; year n/a; single; phone; school,"910 N Renee St, Milwaukee, WI 53233",100,50,60,100,90
1306,80.5,TP Industrial Inc Which Will,MO,"Liberty, MO",single,1,35,1520000,,1,0,,Not Available,,A+,0.5,35 emp; $1.5M rev; year n/a; single; phone; school,"16221 NE 116th St, Liberty, MO 64068",100,50,60,100,90
1307,80.5,Berg Enterprises Inc Which,AZ,"Sierra Vista, AZ",single,1,36,1511000,,1,0,,Not Available,,A+,0.5,36 emp; $1.5M rev; year n/a; single; phone; school,"4984 S Arabian Dr, Sierra Vista, AZ 85650",100,50,60,100,90
1308,80.5,Masterwork Inc Which Will Do,CA,"Esparto, CA",single,1,36,1511000,,1,0,,Not Available,,A+,0.5,36 emp; $1.5M rev; year n/a; single; phone; school,"26678 Capay St, Esparto, CA 95627",100,50,60,100,90
1309,80.5,Modern Human Inc Which Will Do,CA,"San Francisco, CA",single,1,36,1511000,,1,0,,Not Available,,A+,0.5,36 emp; $1.5M rev; year n/a; single; phone; school,"10 Arkansas St # B, San Francisco, CA 94107",100,50,60,100,90
1310,80.5,School Bus Plant Co LLC,CO,"Denver, CO",single,1,36,1511000,,1,0,,Not Available,,A+,0.5,36 emp; $1.5M rev; year n/a; single; phone; school,"3045 S Jackson St, Denver, CO 80210",100,50,60,100,90
1311,80.5,Lisdie Montano Sch Trnsprtn,FL,"Lehigh Acres, FL",single,1,36,1511000,,1,0,,Not Available,,A+,0.5,36 emp; $1.5M rev; year n/a; single; phone; school,"3102 13th St W, Lehigh Acres, FL 33971",100,50,60,100,90
