rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
283,Nichols Bus,PA,family-owned,independent,"Robyn Nichols (President); Jim Nichols (prior owner, deceased 2018); founded by Lyle 'Shorty' Nichols; 4th generation (S & K Nichols) involved",medium,1941,12,20,"[""school"", ""charter"", ""CDL training"", ""auto repair""]","[""Lackawanna Trail School District""]","Third-generation family business; Jim Nichols (2nd-gen owner) passed in 2018, daughter Robyn took over as President; retired motorcoach line in 2010 to focus on school transportation.",https://www.nicholsbus.com,high,"Small NEPA family operator (~12 buses) anchored to Lackawanna Trail SD. Third-gen leadership with 4th-gen involvement suggests some runway, but small scale and rural footprint = modest tuck-in for Summit's PA cluster; succession optionality is medium given owner-operator structure."
284,Kip's Bus Svc,PA,family-owned,independent,Mary Clyde and Jan Gourley (owners per BBB); lead exec listed as Jan Rowles (likely same Jan); operates as Kips Bus Service Inc / Kips CDL Testing,high,1967,20,20,"[""school"", ""CDL testing/training""]","[""Curwensville Area School District""]","In business since 1967 (~59 years); also operates Kips CDL Testing Inc, partnering with Curwensville SD to train substitute bus drivers amid driver shortages (WTAJ coverage).",https://www.kipscdltestinginc.com,high,"~20-bus single-district contractor (Curwensville Area SD) in rural Clearfield County PA, ~60-year-old family business with female owner-operators – high succession probability. Small but clean tuck-in; CDL testing arm is a bonus driver-pipeline asset for Summit's PA platform."
285,Schwartz School Bus Svc,MO,family-owned,independent,"Jerry Schwartz (President, Schwartz Bus Service Inc)",medium,1982,20,40,"[""school"", ""charter""]","[""Montgomery County MO area schools (Jonesburg/Montgomery City area); specific district contracts unconfirmed""]","Received $104,370 PPP loan in April 2020 reporting 40 jobs in school/employee bus transport; in business ~43 years (since 1982).",unconfirmed (no dedicated company website found; directory listings only),medium,"Mid-Missouri small family operator (~20 buses, 40 employees per PPP) – not in Summit's core PA/MA/etc. footprint, but a clean independent. Founder-led since 1982 suggests succession timing is reasonable; geographic fit is the main question for Summit's tuck-in strategy."
287,Mario's Transportation Inc,NY,family-owned,independent,"Mario Lopez Sr. (founder); Mario Lopez (President, per record); family-owned and operated",medium,1991,30,15,"[""school (private schools)"", ""charter"", ""commuter shuttle""]","[""NYC private schools: Chapin, Collegiate, Trinity, Columbia Grammar, Brearley""]","33-year-old family business; grew from single commuter shuttle (Upper East Side to FiDi) to 30+ vehicle fleet; serves elite Manhattan private K-12 schools; modern fleet (2007+ with seatbelts, AC).",https://www.mariostransportation.com,high,"Attractive niche operator: contracts with top-tier NYC private schools (Chapin, Trinity, Brearley, Collegiate, Columbia Grammar) = premium private-pay revenue with low district-procurement risk. ~30 buses, founder-led from 1991 (succession window opening). Strong tuck-in candidate for Summit's NYC private-school exposure if Summit expands beyond traditional yellow-bus district contracts."
288,Air B School Bus Trnsprtn Inc,FL,family-owned,independent,Henry Beltran (President/VP/Treasurer),unknown,2000,70,60,"[""school"", ""charter"", ""field-trips"", ""summer-camps""]","Miami-Dade County Public Schools (certified vendor, public routes and field trips); Broward County area","Listed on the 2025 Miami-Dade County Public Schools approved private bus companies roster, indicating active district contracting.",https://airbbus.com,medium,"Small independent Miami-Dade contractor (~52 power units / 60 drivers per FMCSA, ~70 buses per company materials) with long M-DCPS relationship. Reasonable Florida tuck-in for Summit; size is sub-scale but a useful add-on in a fragmented Miami market. Confirm Beltran-family succession appetite."
289,H & W Transportation Inc,PA,family-owned,independent,Joel Walworth (Owner),unknown,,,15,"[""school""]","Lakeview School District (Stoneboro/Sandy Lake area, Mercer County PA)",No recent M&A or news; FMCSA authority active since ~2008 as small carrier/broker; continues to serve Lakeview SD per district transportation page.,https://www.facebook.com/p/HW-Transportation-Inc-100034368856418/,low,"Very small rural western-PA single-district contractor (Lakeview SD). Independent owner-operator — possible cheap tuck-in to densify any NW PA route cluster, but standalone scale is minimal and likely below Summit's threshold absent geographic synergy."
291,Wheelchair Accessible Vans Inc,TX,family-owned,independent,Jonathan/John Mitchell (CEO/Manager),unknown,,,25,"[""wheelchair-van-rental"", ""ADA-event-shuttles"", ""NEMT"", ""veteran-transport""]","East Texas (Tyler & Longview), Houston, Austin, Dallas/Carrollton, Fort Worth; ADA event contracts including Super Bowl, NFL Draft, Formula 1, Austin City Limits; veterans and dependents","No M&A; continues operating as Wheelchair Accessible Transportation, LLC (dba 'Wheelin' It' / WeRollYou); family-owned staffed by service-disabled veterans.",http://www.wheelinit.com/,low,Not a school-bus operator — wheelchair-van rental and ADA event shuttle business. Outside Summit's core student-transport thesis; would only be relevant if Summit pursues NEMT/event accessibility adjacencies. De-prioritize as a school-bus tuck-in.
292,Ambassador Wheelchair Svc,CT,family-owned,independent,Roy Fazzina and Salvatore Marotta (co-owners); Anthony Fazzina,unknown,1991,,48,"[""NEMT"", ""wheelchair-van"", ""airport-shuttle"", ""limited-student-transport""]",Hartford and Central Connecticut; non-emergency medical clients; some individual school transport for wheelchair-bound students (per customer reviews); not identified as a contracted school-district vendor,Co-owner Sal Marotta submitted testimony to CT General Assembly in 2024 (HB-05427) supporting NEMT-related legislation; no M&A reported.,https://ambassadorwheelchair.com,medium,"Founded 1991, Rocky Hill CT family-owned NEMT/wheelchair-van operator — not a yellow-bus contractor. Outside Summit's school-bus tuck-in thesis; potential adjacency only if Summit expands into SPED/NEMT in CT. De-prioritize."
293,Non Emergency Transport Inc,TX,independent,independent,Darrell W. Melton BSN RN (CEO/President); listed by source as 'Darrell Nelson (Owner)' likely a typo of Darrell Melton,medium,1995,"unknown (small NEMT van fleet, ~10-20 vehicles implied by 45 employees)",45,"NEMT (wheelchair/gurney/ambulatory) for dialysis, medical appointments, hospital discharges, special events; no school-bus or SPED route services advertised",Tarrant County and surrounding DFW; Medicaid/Medicare NEMT brokers; private-pay,None located (2024-2026). Operating continuously since 1995; NPI registered Nov 2005.,https://www.netitx.com/,medium,Pure NEMT operator (no school district contracts identified) - poor strategic fit for Summit's school-bus/SPED tuck-in thesis. Could only be a fit if Summit expands into adjacent SPED-to-clinic/door-to-door SPED routes; otherwise pass.
294,MTS Transportation Inc,VA,independent,independent,Meron Wodajo (Owner); Minilik Tessema (President); Veronica Shiferaw (VP),low,2005,unknown (NEMT vans/sedans/wheelchair vans/stretcher; ~15-25 implied by 35 employees),35,"NEMT - ambulatory, wheelchair, stretcher; sedan, shuttle, passenger van, passenger bus; serves seniors, dialysis patients, children with special needs (door-to-door medical, not school routes)",DC/Northern VA/MD metro; private-pay and Medicaid NEMT; no school district contracts identified,None located (2024-2026); BBB Accredited.,https://mtstransportationinc.com/,medium,NEMT operator marketed to families of special-needs children but not a contracted school-bus / SPED route provider. Off-thesis for Summit; only relevant if Summit pursues SPED door-to-door adjacency in NoVa.
295,Pegasus Transit,CA,family-owned,independent (Paseta family),Mary L. Paseta (President/CEO); Ivo Paseta (COO/Manager),medium,2004,"~15-25 coaches/shuttles (Coach 56-pax, Charter 56-pax, Shuttle 40/20/14-pax; DBE-certified motorcoach fleet)",40,"Charter, motorcoach, shuttle, group/corporate, athletic team transport, contract shuttle; NOT a contracted school district school-bus or SPED route operator (advertises field trip charters only)","Ventura County, LA area, Santa Barbara, Bakersfield; corporate/military/government shuttle, weddings, athletic teams, school field trips; Oxnard SD home-to-school is served by Durham, not Pegasus",None M&A-related located 2024-2026; DBE-certified with USDOT.,https://www.pegasustransit.com/,medium,"Family-owned charter/motorcoach operator, not a school-route contractor; limited fit for Summit's home-to-school platform. Could only be a fringe tuck-in if Summit wants Ventura County motorcoach/activity-bus capability alongside an existing yellow-bus depot."
297,Silver Lining Transport,CA,independent,"independent (legal entity: CTC Triad, Inc. dba Silver Lining Transport)",Lisa Reed (Manager per BBB); Allen Maroun / 'Allan Mourn' (General Manager per source list),low,2009,unknown (NEMT van fleet; ~10-20 implied by 30 employees and 3 Sacramento-area locations),30,"NEMT for seniors and individuals with disabilities; ambulatory, wheelchair, gurney; Medicaid/Medi-Cal NEMT. No school-bus or SPED home-to-school route services identified.","Sacramento metro (West Sacramento, McClellan, North Highlands); Medi-Cal beneficiaries and senior services",None M&A-related located 2024-2026; BBB rating C+ due to unresponded complaints (not accredited).,http://www.silverliningtrans.com/,medium,"NEMT operator, not a school-bus contractor. Poor fit for Summit's home-to-school/SPED platform thesis. Note: the FMCSA USDOT 4375000 'Silver Lining Transport LLC' is a different entity in SC (general freight, 1 truck) - do not conflate."
298,Carolina Specialty Transport,NC,family-owned,independent,"[""Greg Christopher (Owner)"", ""Jamie Christopher (Vice President)""]",unknown,1996,35,35,"[""special-needs"", ""NEMT"", ""general non-emergency transportation""]",Metrolina Region of NC & SC (Gaston County area); reportedly contracted by local schools to transport special-needs children; serves Medicaid/NEMT clientele,Long-established (since 1996); no recent M&A news identified. Some BBB complaints around service coordination but no ownership change signals.,https://www.carolinaspecialtytransport.com,medium,"Small family-owned NC special-needs/NEMT operator with ~35 vehicles in Summit's Carolinas footprint; primarily NEMT/special-needs rather than yellow-bus, so fit as a tuck-in is moderate (could add SPED capability in Charlotte metro). Founder-led; possible succession candidate given 30-year operating history."
299,Wheelcare Express Inc,CA,family-owned,independent,"[""Bun-Ek Hiranpradist (President)""]",unknown,,100,20,"[""NEMT"", ""paratransit"", ""wheelchair/gurney transport""]","Northern California: North Bay (Marin, Santa Rosa, Mendocino, Lake, Napa, Solano), East Bay (Alameda, Contra Costa, parts of Santa Clara), San Francisco/Peninsula (SF, San Mateo). Primarily medical/dialysis/oncology/rehab clients; no confirmed school district contracts.",40+ years in business per company site; no M&A or ownership change news identified.,https://wheelcareexpress.com,medium,Pure-play NEMT/paratransit operator with ~100-vehicle fleet across Northern California; no evidence of school bus or student transportation contracts. Limited tuck-in fit for Summit School Services' yellow-bus/SPED platform; would be off-thesis unless Summit pursues NEMT/SPED diversification in CA.
301,Lakes Medi-Van,MN,family-owned,independent,"[""Jeffrey R. Nustad (President/CEO)"", ""Lori Nustad (Vice President)""]",medium,1985,20,25,"[""NEMT"", ""special-needs"", ""wheelchair"", ""specialized transportation""]","200-mile radius of Detroit Lakes including Bemidji, Brainerd, Worthington, Windom, Cambridge; Minnesota Medicaid NEMT; serves people with intellectual disabilities/specialized needs; no confirmed K-12 school district contracts.","41 years in business as of 2026 (founded Feb 1, 1985); BBB-accredited since 2008. Blue Cross MN reasserted control over rural Medicaid rides — modest industry headwind.",https://www.medi-van.org,medium,Founder-led 40+ year MN NEMT/special-needs operator with strong rural footprint; principal husband-wife team suggests possible succession opportunity. Off-strategy for yellow-bus thesis but could fit a SPED/NEMT adjacency play in MN. Modest scale; rural Medicaid rate headwinds.
302,Royal Xpress Inc,IL,family-owned,independent,[],unknown,2009,15,15,"[""school bus"", ""employee shuttle"", ""special-needs"", ""NEMT"", ""private ground transportation""]",Illinois (Lake County/Zion-Wadsworth area and 'beyond'); offers school and employee bus transportation plus special-needs/NEMT; specific district names not publicly disclosed.,Family-owned small operator since 2009; no M&A or material news identified.,https://www.royalxpressinc.com,low,"Small (~15 employee) family-owned IL operator that advertises school bus + special-needs + employee shuttle services; sub-scale for a meaningful tuck-in on its own, but could fit a Lake County/north-suburban Chicago route-density play if Summit is building IL presence. Low public visibility — would need direct outreach to verify fleet/district contracts."
310,Transport Care Svc LLC,SC,independent,independent,"[""Christopher P. Land (Founder/CEO)""]",high,2010,,30,"[""student-transportation"", ""paratransit"", ""NEMT"", ""municipal"", ""personal-transfer""]","[""Columbia SC metro"", ""DBE-certified in 30 states for paratransit/student transport contracts""]",Rebranded from Transport Care Services to TCS Mobility (forward-looking growth positioning); founder Christopher Land has 40+ yrs industry experience suggesting eventual succession.,https://tcsmobility.com/,medium,"Most credible Summit-adjacent target in this batch: explicitly lists student transportation, DBE/MBE certified in 30 states, founder-led with 40+ years experience (succession potential). Small scale (~30 employees, ~$1M rev) but could be a beachhead tuck-in for SC/Southeast student-transport contracts."
312,Need-A-Lift,IN,independent,independent,"[""Bryan Durr (President)"", ""Sean (operations contact)""]",medium,2004,,12,"[""NEMT"", ""wheelchair-transport"", ""escorted-transport"", ""senior-transport""]","[""Indianapolis, Avon, Danville IN"", ""dialysis, hospital discharge, doctor visits, senior outings""]",No M&A news. Established 2004 family-style operator; founder/president Bryan Durr still active.,https://www.needaliftin.com/,medium,Senior/NEMT wheelchair-van operator with no school district or SPED contract footprint visible. Not a fit for Summit's school-bus tuck-in thesis.
313,Atlas Ambulette Inc,NY,independent,independent,Shibu P. Kusuman (President/Chairman),unknown,2005,unknown (~10-12 vehicles inferred from employee count),12,"[""NEMT"", ""ambulette"", ""wheelchair transport"", ""special needs""]","NYC Medicaid via Medical Answering Service; nursing homes, dialysis centers, hospitals across NYC and Long Island",No recent M&A or growth news identified; small operator continuing as NEMT/ambulette provider since 2005,https://atlasambulette.com/,medium,"Poor Summit fit: pure NEMT/ambulette operator (no school district contracts indicated). Very small (~$750K revenue, ~12 employees); below tuck-in scale and outside core yellow-bus/SPED routed school market."
318,Dakota Bus Svc Inc,CO,family-owned,independent,Part of Dakota Trailways / DBS family of companies; Phyllis Charles listed as local manager,medium,1957,,45,"[""school"", ""charter"", ""motorcoach""]","Colorado Front Range school/charter customers; operates as DBS/Grace Coach Lines from Lafayette, CO",DBS/Grace Coach Lines markets as a third-generation family-owned operator (Dakota Trailways heritage since 1957); no recent M&A signal found,http://www.gracecoachlines.com/,medium,"Small CO operator with school/charter mix and family/third-gen ownership; modest size but Front Range Denver-metro footprint could be a tuck-in for a Summit Colorado build, though school exposure looks limited vs. charter."
319,M & J Bus Inc,CT,family-owned,independent,"Michael C. Beebe (President/Founder), Karen A. Beebe (Co-founder), Michael John 'MJ' Beebe (next-gen)",high,1975,400,600,"[""school"", ""special-needs"", ""athletic charter""]","~23-28 CT towns including Old Saybrook, Clinton, Farmington, Colchester, Windham, Coventry, Lyme-Old Lyme (Region 18), North Stonington, Westbrook, Stafford, Mansfield, Suffield, plus E.O. Smith HS athletics",Profiled in 2024 as one of CT's heavyweight school transportation operators; founder still active with son in management (succession dynamic),https://www.mjbusinc.com/,high,"Highly attractive: 50-yr family-owned CT platform with ~400 buses/175 vans, 23+ municipal contracts, founder in 70s+ with one son in business — classic succession-driven tuck-in/regional platform candidate for Summit in CT."
320,Caldwell Transportation Co Inc,ID,family-owned,independent,Karen Azman (listed manager); locally owned/operated per company materials,medium,1947,140,161,"[""school"", ""charter"", ""motorcoach""]","Mountain Home School District (since 2013), plus Treasure Valley districts via Caldwell/Boise/Middleton hubs; 4,000+ students/day","Self-described locally owned, 75+ years in business; no recent M&A signal found",https://www.ctcbus.com/,medium,"Decades-old, locally owned Idaho platform with multi-hub Treasure Valley footprint (Caldwell/Boise/Middleton/Mountain Home) and ~140 buses — strong tuck-in candidate to seed Summit's Mountain West/Idaho presence."
321,Ottawa Bus Svc Inc,KS,family-owned,independent,Daniel (Dan) Newby (Owner/President),medium,,21,37,"[""charter"", ""tour"", ""motorcoach""]","Olathe, KS-based; operates as Crossroad Tours — primarily charter/tour business, limited evidence of contracted school district routes",Long-standing (~87 years per D&B) Kansas charter operator under Crossroad Tours brand; no M&A signals,http://crossroadtours.com/,medium,Likely off-thesis: appears predominantly a motorcoach/charter operator (Crossroad Tours) rather than a contracted yellow-bus district provider; small (~21 units). Confirm school exposure before pursuing — otherwise pass.
323,Amaral Bus Co Inc,MA,family-owned,independent,Jose C. Amaral (President); Eric Amaral (Co-Owner),medium,1976,,57,"[""school"", ""charter"", ""7D/PTV vans"", ""CDL training"", ""vehicle sales""]",Multiple Southcoast MA and Rhode Island school districts; charter/field trips/weddings across New England,"Actively hiring school bus and 7D/PTV van drivers with attractive incentives (2025-2026); operates CDL training school at 29 Ruth St, New Bedford, MA",https://www.amaralcompanies.com/,medium,Classic family-owned MA/RI school bus + charter operator with adjacent CDL training and vehicle sales lines; in-region tuck-in for Summit's Northeast footprint with multi-district contracts and 7D special-needs van capability
324,Dufour Escorted Tours Inc,MA,family-owned,independent,William D. Dufour and Barbara Dufour (co-owners); originally co-founded with uncle John Dufour as Dufour Brothers Inc.,high,1963,197,67,"[""school"", ""charter"", ""limo bus"", ""weddings/events""]","Western Massachusetts and Southern Vermont school districts including Central Berkshire Regional, Lenoxdale, Lee, Lenox, North Adams, Williamstown, Bennington VT",Co-owners William and Barbara Dufour previously announced plans to retire and discontinued the motor coach/tour business after 37 years (~2011) to focus on the school bus fleet; remains family-owned operator of ~197 school vehicles,https://www.dufourtours.com/,medium,"Highly attractive Summit tuck-in: 60+ year multi-generational family operator with ~197 school buses across Western MA / Southern VT, prior retirement signal from owners, regional density in Summit's Northeast footprint. NOTE: The 'Franklin Park IL' HQ field in source data appears to be an error; HQ is Hinsdale MA."
325,Bowens Bus Svc,MD,family-owned,independent,Michael Bowen (Founder),medium,2001,80,80,"[""school"", ""special-needs (private schools)"", ""charter""]",Howard County Public Schools (HCPSS) - 56 routes; multiple local private schools; charter services,Grew from 1 bus in 2001 to 56 routes and 80+ buses; appears on HCPSS school transportation contractor lists (SY22-23 and current); HQ in Glenelg MD (not Baltimore as input data indicates),https://bowensbusservice.com/,high,Strong founder-led MD operator with deep HCPSS contractor relationship and 56 routes - attractive density in a Summit expansion-adjacent state. Founder Michael Bowen is original owner (24+ yrs) - reasonable succession candidate; private school work adds margin upside.
329,Bluff Country School Bus Svc,MN,family-owned,independent,"[""Doug Grisim (President/CEO)"", ""Cara Grisim (Co-owner)"", ""Emmee Grisim Lopez (Routing Coordinator)"", ""Rusty Grisim""]",medium,1995,50,70,"[""school""]","[""Lake City Public Schools (MN)"", ""Wabasha-Kellogg Public Schools (MN)"", ""Plainview-Elgin-Millville (PEMS) (MN)""]",2022: Doug Grisim publicly discussed driver-shortage hiring push for new school year (KTTC). Third-generation Grisim family operator; Doug is past President and current board member of Minnesota School Bus Operators Association.,https://www.bluffcountryschoolbus.com,high,"Strong tuck-in candidate: independent, third-generation family operator, sole provider to 3 SE MN districts, ~50 buses. Founders active 30+ years with two adult children in business — medium succession signal (could go either way). MN is a Summit footprint state."
331,Monarch Bus Svc,MN,family-owned,"Affiliated with Minnesota Coaches family of companies (Minnesota Coaches Inc, Minneapolis & Suburban Bus Co, Monarch Bus Service — treated as joint/single employers per NLRB case 18-CA-169411). Locally/family owned; Bruce Dischinger cited as owner of Monarch in third-party profile.","[""Steve Latour (Manager, Monarch)"", ""Bruce Dischinger (cited owner per Buzzfile)""]",unknown,,,126,"[""school"", ""charter"", ""motorcoach""]","[""Saint Paul Public Schools (ISD 625)"", ""Twin Cities charter and private schools""]","NLRB case 18-CA-169411 named Minnesota Coaches, Minneapolis & Suburban Bus, and Monarch Bus Service as joint/single employers. Minnesota Coaches family operates 11 locations across MN and WI; described as largest motorcoach operator in region. No 2024-2026 M&A found.",https://www.monarchbusservice.net,medium,"Likely tuck-in candidate as part of Minnesota Coaches family (65+ year family-owned group, 11 locations MN/WI). Holds key St Paul ISD 625 contract. Acquisition would likely require dealing at the Minnesota Coaches parent level, not Monarch standalone. MN is a Summit footprint state."
332,Rainbow Transportation Svc Inc,CT,family-owned,independent (Viets family),"[""Sterling N. Viets (President/Owner)""]",medium,1963,,163,"[""school""]","[""Windsor, CT area school transportation (specific district contracts not publicly confirmed)""]","Long-standing CT operator (60+ years). Operates under two related entities: Rainbow Bus Lines Inc (CT entity 0038564) and Rainbow Transportation Services Inc (CT entity 0563293), both Viets-controlled. No M&A activity found in 2023-2026.",http://rainbowtransportation.com,medium,Solid tuck-in candidate: 60+ year independent Viets-family operator in CT (Summit footprint). Long tenure suggests founder/owner aging — medium succession signal. ~163 employees and est. ~$8.6M revenue is a meaningful regional bolt-on in the dense Hartford-area market.
333,Osseo Brooklyn School Bus Co,MN,family-owned,Regan family (operating as American Student Transportation / Northstar Bus Lines),"Robert J. Regan (founder, 1963); Patrick O. Regan; Matthew Regan",low,1963,200,78,"[""school"", ""charter"", ""special-needs""]",Osseo Area Schools (Dist. 279) and other Minneapolis-area public and charter districts; sister co. Northstar serves Twin Cities,"In 2024 Patrick O. Regan filed STB notice to acquire control of multiple MN motorcoach/school bus operators (Faribault Transportation, Minnesota Coaches, Marschall Line, Rehbein Transit, Minn-Dakota Coaches, Voyageur Bus, Ready Bus) - consolidating a growing Regan-family MN platform; operating as American Student Transportation / Northstar with 200+ buses and electric bus rollout.",american-trans.com (formerly osseobus.com),medium,Third-gen family operator but actively CONSOLIDATING - Patrick Regan is the acquirer of multiple MN operators in 2024. More likely a competitor/regional platform than a Summit tuck-in target; low succession likelihood.
334,Mcgough Bus Co Inc,NJ,family-owned,independent (McGough family),"Henry McGough (founder, 1977); MaryAnn McGough (Exec Secretary/Treasurer); Meghan McGough Paster (COO)",medium,1977,135,150,"[""school"", ""charter"", ""special-needs""]","South Jersey districts; two hubs in Sewell and Camden, NJ; serves Glassboro area",NJBIA profile (Henry McGough): started 1977 with $1k savings + $10k loan from parents and one bus/one route; grown to 135 vehicles across two SJ hubs; remains family-run with founder and daughter as COO.,mcgoughbus.com,high,Solid 2nd-gen NJ family operator with ~135 buses in attractive S. Jersey market. Founder is aging and 2nd gen daughter active - reasonable tuck-in candidate; Summit already in NJ via Durham footprint.
335,Cottage Hill Co,IL,family-owned,independent (Peacock family; affiliated with Kabert Industries / Beck Bus Transportation),"Robert (Bob) Peacock (President, owner since 1968); Robert Beck Jr. (COO, Kabert email); Kathy Martino (VP Operations)",high,1950,80,112,"[""school"", ""special-needs""]","Addison, Elmhurst, Lombard, Villa Park, Westmont - DuPage County/Chicago western suburbs; regular and special-ed contracts",Bob Peacock has owned and grown the business for 48+ years (since 1968); affiliated with Kabert Industries and Beck Bus Transportation Corp. (Illinois UST records show Beck Bus as owner of tanks). 2025 revenue ~$5.5M.,cottagehilloperating.com,medium,"Classic succession-ready target: family-owned 75+ yrs, single owner (Peacock) at 48+ yrs at helm, multi-district DuPage Co. presence. High tuck-in fit IF Kabert/Beck Bus affiliated entities can be acquired together; warrants direct outreach."
338,Dee Bus,MA,family-owned,Dee family (independent),"[""George Dee (Owner)"", ""Helen Hamm (Manager)""]",medium,1946,246,250,"[""school"", ""special-needs""]",Serves ~57 school districts across three counties in Boston/MetroWest area (per company materials); also referenced as 'over a dozen' districts in older sources,Multi-generational family operator (Leo Dee 1946 -> son George Dee); grown to ~200 buses + 46 special-needs vans; Zonar case study highlights fleet technology adoption.,https://www.deebus.com,medium,"Strong MA in-state tuck-in candidate: family-owned, multi-generational, ~200+ bus fleet across MetroWest districts. Listed employee count (47) appears to be a single-location subset; true scale materially larger than record indicates. Likely platform-scale, not pure tuck-in, but attractive."
340,Harlows School Bus Svc Inc-Mt,ID,family-owned,"Hageness family (independent, privately-owned)","[""Harlow H. Hageness (Founder)"", ""Mark Kovisto (Contract Manager, Garden Valley ID)"", ""Phil Dixon (Manager, per record)""]",medium,1973,300,400,"[""school"", ""special-needs"", ""charter""]","Multi-state contracted student transportation across ND, SD, MT, ID, and WA; Garden Valley ID location serves local Boise-area mountain districts; McCall ID location active (goharlowsmccall.com).",Founder Harlow Hageness (b.1942) built from ND base; company remains family-owned per site; affiliated 'Harlow's Bus and Truck Sales' dealership in Bismarck ND adds vertical integration.,https://www.harlowsschoolbus.com,medium,"Attractive regional platform (5 states, family-owned, founder ~84 yrs old -> succession potential). However the multi-state, multi-location scale and affiliated bus dealership make this platform-sized, not a tuck-in. Garden Valley ID is one branch within a larger Harlow's network HQ'd in Bismarck ND (note record's '701' phone confirms ND HQ ownership)."
346,Trobecs Bus Svc,MN,family-owned,independent,"Bethany Bertram (CEO/President/co-owner); founded by Tony, Frances and Joe Trobec in 1938; transitioned in 1980s to Tom Trobec, Betty Trobec and Emily Gohman",medium,1938,,58,"[""school"", ""charter"", ""athletic"", ""field-trip"", ""motorcoach"", ""wheelchair-accessible""]","Central MN — St. Cloud / St. Joseph / Holdingford / St. Stephen area school districts; mix of school routes and motorcoach charters (weddings, corporate, athletics)",85+ years in operation as of 2023; multi-generational family ownership now in third generation under Bethany Bertram. Active member of MSBOA; recognized in MN pupil transportation industry.,https://www.trobecsbus.com/,high,"Plausible tuck-in — independent, multi-generational family operator in Central MN with school + charter mix. Third-generation ownership and 85+ year history suggest medium succession signal; size (~58 employees, ~$2.4M est. revenue) is small but consolidatable. Worth a direct outreach."
347,L & S Bus Svc Inc,MD,family-owned,independent,Lawrence Chanaud (President / Exec Officer),medium,1996,15,40,"[""school"", ""charter"", ""field-trip"", ""athletic""]","Primary contract: Queen Anne's County Public Schools (MD upper Eastern Shore); also private schools and charter groups (clubs, churches, civic organizations)",No M&A or sale news identified; long-tenured single-county school contractor on the Eastern Shore with a stable fleet of ~15 buses.,https://lsbusservice.com/,medium,"Plausible small tuck-in — independent, owner-operated since 1996 with the Queen Anne's County contract anchor and Eastern Shore footprint adjacent to Summit's MD/DE footprint. Single-principal succession profile (Lawrence Chanaud) is a moderate signal. Small (~15 buses) but a clean bolt-on for a MD platform."
348,Teton Stage Lines School Bus,ID,family-owned,independent,"[""Donavan Harrington (owner)"", ""Jackie Harrington (owner)"", ""Nathan Harrington (manager, 2nd gen)""]",medium,1945,14,35,"[""school"", ""charter"", ""motorcoach"", ""executive/party bus"", ""ADA""]","[""4 Eastern Idaho school districts (Blackfoot area)"", ""tourism/charter customers Idaho-Wyoming-Utah""]",Family-owned since 1994 when Donavan and Jackie Harrington purchased from the Ashcraft family; second generation (Nathan Harrington) involved in management.,https://www.tetonstagelines.com,high,"Small but legitimate independent family operator with 14-bus school route business plus charter — modest tuck-in scale for Summit but in-footprint (ID); second-gen Harrington presence suggests succession is medium-term, not imminent."
356,H & M Bus Co,MD,family-owned,independent,Melvin A. Myles (Owner),unknown,2004,,4,charter bus service (Local & Suburban Transit; charter except local),DC/PG County metro area; specific district contracts not confirmed online,"BBB profile (A+ rating, not accredited) shows company active in Capitol Heights, MD since Feb 9, 2004 under Melvin A. Myles. Buzzfile/D&B list it as Bus Charter Service.",None confirmed (data file lists 'Reply.Com' - likely placeholder/no real website),medium,"Very small operator (~3-4 employees per HQ data, $1.4M revenue) and primarily charter rather than confirmed school-district contractor; founder Myles likely near succession age (20+ years in business). Marginal tuck-in size but could be relevant in DC/PG County footprint if district contracts are confirmed."
357,Brown Bus Svc,MD,family-owned,independent,Dale Brown Jr. (Owner-Operator); Bob Brown (VP per source data),medium,,,30,"school bus contractor (Cecil County Public Schools, including special-education routes)",Cecil County Public Schools (CCPS) - confirmed on official contractor roster,"Listed on CCPS 2024-25 bus contractor roster (Dale Brown Jr., 443-553-7836). Coverage in cecildaily/myeasternshoremd referenced a driver who later drove a Brown Bus Service school route.",None confirmed (data file 'elroywi.com' is unrelated),medium,"Legitimate family-owned Cecil County, MD school-bus contractor on the CCPS contractor list with SPED route exposure - a real (if very small) Summit-style tuck-in candidate. Two-generation Brown family involvement (Dale Jr. + Bob Brown VP) suggests possible succession dynamics; worth a courtesy call given Maryland footprint fit."
359,Voigt's Bus Service,MN,family-owned,"independent (Voigt family, 3rd generation)","[""Norbert 'Norb' Voigt (founder, 1947)"", ""Mercedes 'Sadie' Voigt (co-founder)"", ""Robin Kowalski (Operations)""]",medium,1947,100,18,"[""school bus"", ""charter"", ""shuttle"", ""motorcoach/tour"", ""body shop""]","[""Anoka-Hennepin School District (largest in MN)"", ""various MN districts via 4 facilities (Cold Spring, Minneapolis, St. Augusta, St. Cloud) and Waconia HQ""]",No M&A activity identified; remains independent third-generation family business operating 100+ buses across four MN locations.,https://voigtbus.com,high,"Attractive MN tuck-in: 3rd-generation family ownership (succession optionality), 100+ buses, anchor Anoka-Hennepin contract, diversified school/charter/motorcoach mix, 4 facilities offering geographic density across central MN. Employee count in source (18) is materially understated vs. actual scale; revenue likely well above the $1.1M listed."
