a_rank_overlay,bench_rank_overlay,track,company,state,hq,w4_composite,overlay_pts_sum,overlay_composite,data_confidence,sub_sector_derived,scale_tier_derived,fleet_buses,drivers,founded,fmcsa_source,usdot,_sf,_su,_geo,_ind,_oh,_rel,composite,a_rank,bench_rank,valuation_attractiveness_pts,valuation_attractiveness_cite,valuation_attractiveness_flag,size_margin_signal_pts,size_margin_signal_cite,size_margin_signal_flag,succession_pts,succession_cite,succession_flag,driver_market_risk_pts,driver_market_risk_cite,driver_market_risk_flag,outsourcing_ev_mandate_pts,outsourcing_ev_mandate_cite,outsourcing_ev_mandate_flag,contract_renewal_timing_pts,contract_renewal_timing_cite,contract_renewal_timing_flag,ut_expansion_bonus_pts,ut_expansion_bonus_cite,ut_expansion_bonus_flag,iv_fleet_used,iv_fleet_source,iv_rev_low,iv_rev_point,iv_rev_high,iv_ebitda_low,iv_ebitda_point,iv_ebitda_high,iv_ev_mult_entry_low,iv_ev_mult_entry_point,iv_ev_mult_entry_high,iv_ev_perbus_low,iv_ev_perbus_point,iv_ev_perbus_high,iv_ev_entry_consensus_low,iv_ev_entry_consensus_high,iv_ev_build_8x_point,iv_value_creation_spread_point,iv_flag,iv_citation,da_revenue_est,da_employees,web_employees_est,da_size_tier,web_ownership_type,web_owner_or_parent,web_succession_signal,web_service_types,web_districts_or_customers,web_website
1011,,A,Advance Wheelchair Transport,NC,"Flat Rock, NC",58.0,10.0,68.0,0.6,S,<50,,,2019,none,,50,25,70,100,50,75,58.0,1097,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2019 (business age=7y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,378000,6,6,single,independent,independent,medium,"[""NEMT"", ""wheelchair-van"", ""taxi""]",Western NC / Henderson County area; Medicaid NEMT; no confirmed school district contracts,https://www.facebook.com/advancetransportservice/
1012,,A,Wings-Halos Non-Emergency,NC,"Hillsborough, NC",58.0,10.0,68.0,0.6,S,<50,,,2019,none,,50,25,70,100,50,75,58.0,1098,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2019 (business age=7y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,292000,5,5,single,family-owned,independent,unknown,"[""non-emergency medical transport"", ""wheelchair-accessible van""]","[""Orange County NC area private-pay/Medicaid riders""]",https://www.facebook.com/100064861454955/
1013,,A,Motor Carriage Svc,OR,"Beaverton, OR",58.0,10.0,68.0,0.4,S,<50,,,2024,none,,50,25,70,100,50,75,58.0,1100,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2024 (business age=2y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,286000,4,1-4,single,independent,independent,unknown,"[""general transportation/trucking""]",[],
1014,,A,Mark Yarton Svc Inc,NJ,"Franklin, NJ",58.0,10.0,68.0,0.4,S,<50,,,2023,none,,50,25,70,100,50,75,58.0,1101,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2023 (business age=3y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,204000,3,3,single,family-owned,independent,unknown,"[""possible special-needs/NEMT or contract transport""]",,
1015,,A,Texas Accessibility Speclsts,TX,"Stephenville, TX",58.0,10.0,68.0,0.4,S,<50,,,2023,none,,50,25,70,100,50,75,58.0,1102,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2023 (business age=3y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,155000,3,3,single,independent,independent,unknown,"[""special-needs"", ""NEMT"", ""ADA-paratransit""]",[],
1016,,A,Valentin Beianu Special Needs,WA,"Vancouver, WA",58.0,10.0,68.0,0.4,S,<50,,,2022,none,,50,25,70,100,50,75,58.0,1103,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2022 (business age=4y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,510000,9,9,single,family-owned,independent,unknown,"[""special-needs/NEMT""]",[],
1017,,A,Advantage Medical Transport,MO,"Fayette, MO",67.5,0.0,67.5,0.8,S,<50,1,,2022,census(medium),3883846,40,25,100,100,100,75,67.5,843,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2022 (business age=4y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=MO/scale=all/sub=Y],,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),558000,10,10,single,independent,independent,unknown,"[""non-emergency medical transport (NEMT)"", ""non-medical transport""]","[""MO HealthNet/Medicaid NEMT via MTM brokerage (likely)""]",
1018,,A,Kyle B Flook School Bus LLC,PA,"Gettysburg, PA",64.5,3.0,67.5,0.8,Y,<50,1,1,2015,census(high),2789989,40,40,100,100,50,90,64.5,972,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,1,census(high),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),239000,7,7,single,family-owned,independent,unknown,"[""school bus contractor (home-to-school)""]","[""likely Gettysburg Area School District or Upper Adams SD area (Goldenville Rd, Adams County PA)""]",
1019,,A,Lia's School Bus SVC LLC,TX,"Houston, TX",61.0,6.0,67.0,0.4,Y,<50,,,2026,none,,80,25,70,60,50,90,61.0,1056,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2026 (business age=0y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,1495000,27,27,single,unknown,independent,unknown,"[""school""]",[],
1020,,A,Palmetto Kidz SCHL Shuttle LLC,SC,"Columbia, SC",70.8,-4.0,66.8,1.0,Y,<50,5,1,2022,census(high),4063269,65,25,70,100,100,90,70.8,740,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2022 (business age=4y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,5,census(high),390000,490000,565000,60450,98000,192100,181350,392000,960500,335000,500000,650000,335000,650000,784000,392000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),126000,3,3,single,independent,independent,unknown,"[""school shuttle"", ""daycare/aftercare transport""]","Columbia, SC families; transport to school, aftercare and daycare",palmettokss.com (per source list; palmettokidz.com appears to be an unrelated fundraising entity)
1021,,A,School Busing Inc,VI,"St Thomas, VI",52.5,14.0,66.5,0.2,Y,<50,,,,none,,50,50,30,60,50,90,52.5,1124,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,0,,no_founded_year,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,209000,2,unknown (>2; employees field in source likely understated),single,unknown,independent (USVI local contractor),unknown,school bus (regular & summer pupil transportation for USVI public schools); also referenced for private schools (VIMSIA),USVI Department of Education / VI Board of Education (St. Thomas island-wide); VIMSIA private school,
1022,,A,Ameratrans LLC,NY,"Newark, NY",70.5,-4.2,66.3,1.0,S,<50,1,2,2017,census(high),3086618,40,40,100,100,100,75,70.5,746,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2017 (business age=9y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-4.2,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=NY/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=NY/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,1,census(high),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),125000,2,2-4,single,independent,independent,unknown,"[""non-emergency medical transport (NEMT)"", ""wheelchair van""]",Wayne County NY NEMT / Medicaid clientele (not a school-bus contractor),not confirmed (lead-list URL 'davislawgroupokc.com' is unrelated/incorrect)
1023,,A,Integrated Maintenance & Bus,VA,"Locust Grove, VA",66.0,0.0,66.0,1.0,S,<50,1,2,2018,census(high),3449139,40,40,70,100,100,75,66.0,894,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2018 (business age=8y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(high),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),404000,9,9,single,independent,independent,unknown,"[""NEMT"", ""wheelchair"", ""shuttle"", ""ADA-shuttle"", ""motorcoach""]","[""U.S. federal government (VA/USAspending contract awardee)"", ""ADA shuttle contracts nationally""]",imbserv.com
1024,,A,Big Star Transit LLC,TX,"Dallas, TX",66.0,0.0,66.0,1.0,S,<50,1,1,2013,census(high),3733033,40,40,70,100,100,75,66.0,895,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(high),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),335000,4,~4 corporate (plus network of contracted owner-operator drivers),single,family-owned,independent (Biggers family),low,NEMT and paratransit via owner-operator network model; not traditional school bus contractor,Paratransit and NEMT riders in DFW area; no public school district pupil-transport contracts identified,https://bigstartransit.com/
1025,,A,Furlegan Management LLC,SC,"Easley, SC",66.0,0.0,66.0,1.0,S,<50,1,2,2012,census(medium),4209708,40,40,70,100,100,75,66.0,896,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2012 (business age=14y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),320000,5,35,single,independent,independent (operates as MasterCare of South Carolina LLC; Furlegan Management is the holding/management entity),unknown,"[""non-emergency medical transport"", ""wheelchair transport"", ""ambulatory/long-distance medical transport"", ""special needs (medical, non-school)""]","[""Upstate SC (Easley/Greenville/Greenwood) Medicaid/Medicare NEMT clients"", ""ModivCare/LogistiCare brokered trips (typical for SC NEMT)""]",https://www.mastercaretransport.com/
1026,,A,Charlotte Metro Trnsprtn LLP,NC,"Charlotte, NC",66.0,0.0,66.0,1.0,S,<50,3,8,2013,census(medium),2461831,40,40,70,100,100,75,66.0,898,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,3,census(medium),270000,315000,339000,62100,85050,115260,186300,340200,576300,201000,300000,390000,201000,390000,680400,340200,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),289000,4,4,single,independent,independent,unknown,"[""NEMT"", ""non-medical transportation"", ""wheelchair/mobility transport""]","[""Charlotte/Mecklenburg-area individual NEMT clients - not school districts""]",https://charlottemetrotransportation.com/
1027,,A,Brumant Medical Trnsprtn Svc,NC,"Burlington, NC",66.0,0.0,66.0,1.0,S,<50,4,4,2013,census(medium),4520703,40,40,70,100,100,75,66.0,899,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,4,census(medium),360000,420000,452000,82800,113400,153680,248400,453600,768400,268000,400000,520000,268000,520000,907200,453600,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),260000,5,5,single,family-owned,independent,unknown,"[""NEMT"", ""non-emergency medical van""]","Alamance County NC NEMT — Medicaid/medical appointment, rehab, healthcare transport in Burlington/Haw River area; no school district contracts identified",https://www.brumantmedicaltransportation.com/
1028,,A,Top Limo Svc,WA,"Seatac, WA",66.0,0.0,66.0,1.0,S,<50,2,1,2014,census(medium),2479762,40,40,70,100,100,75,66.0,901,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2014 (business age=12y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,2,census(medium),180000,210000,226000,41400,56700,76840,124200,226800,384200,134000,200000,260000,134000,260000,453600,226800,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),240000,2,2,single,independent,independent,unknown,"[""limousine/black car"", ""airport transfer"", ""wedding/prom/event charter"", ""field trips (mentioned)""]",Private/event clientele in Seattle/SeaTac WA; no school district contracts identified,http://www.topluxurylimo.com/
1029,,A,C J Logistics Trnsprtn Svc LLC,TX,"Fort Worth, TX",66.0,0.0,66.0,1.0,S,<50,1,1,2014,census(medium),2514650,40,40,70,100,100,75,66.0,903,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2014 (business age=12y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),517000,4,4,single,independent,independent,low,"[""NEMT"", ""medical equipment transport""]","[""B2B medical appointment pick-ups""]",https://www.facebook.com/p/CJ-Logistics-Transportation-Services-LLC-100086490813760/
1030,,A,Alaska Mobility Transit LLC,AK,"Anchorage, AK",66.0,0.0,66.0,1.0,S,<50,1,2,2014,census(medium),3290278,40,40,70,100,100,75,66.0,904,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2014 (business age=12y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),144000,2,2,single,family-owned,independent (Service-Disabled Veteran-Owned Small Business / VOSB),unknown,"[""NEMT"", ""wheelchair / handicap transport"", ""gurney/stretcher transport"", ""courier""]","[""VA"", ""DoD"", ""Alaska Medicaid"", ""private pay""]",https://arcmobilitysolution.com
1031,,A,Community Connections Trnsprtn,FL,"Orlando, FL",63.0,3.0,66.0,1.0,S,<50,1,1,2015,census(medium),3885883,40,40,100,100,50,75,63.0,1003,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,3.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=FL/scale=all/sub=Y],,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),640000,9,9,single,independent,independent,low,"[""paratransit"", ""NEMT"", ""special-needs""]","[""Senior communities"", ""Assisted living facilities"", ""Medical practices"", ""Dialysis centers"", ""Metro Orlando STAR network paratransit""]",https://cctransportations.com/
1032,,A,Redi-Rides Of Alaska,AK,"Wasilla, AK",66.0,0.0,66.0,0.8,S,<50,4,4,2012,census(medium),2322136,40,40,70,100,100,75,66.0,905,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2012 (business age=14y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,4,census(medium),360000,420000,452000,82800,113400,153680,248400,453600,768400,268000,400000,520000,268000,520000,907200,453600,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),737000,11,11,single,independent,independent,unknown,"[""special-needs"", ""NEMT""]",Medical and non-medical wheelchair / physically and mentally handicapped transport in Mat-Su Valley; NPI 1962917641 (NEMT van provider),
1033,,A,Eagle Special Transportation,MN,"Ogilvie, MN",66.0,0.0,66.0,0.8,S,<50,1,1,2013,census(high),2386288,40,40,70,100,100,75,66.0,908,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(high),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),384000,8,8,single,family-owned,independent,unknown,"[""NEMT"", ""wheelchair van"", ""sedan medical transport""]","[""Major medical insurance payors (per Manta listing)""]",
1034,,A,Kastone Mobility Svc LLC,MN,"Brooklyn Park, MN",66.0,0.0,66.0,0.8,S,<50,1,1,2014,census(high),2472735,40,40,70,100,100,75,66.0,909,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2014 (business age=12y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(high),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),588000,7,7,small(2-5),family-owned,independent,low,"[""NEMT"", ""patient transport"", ""possible special-needs""]","[""Medicaid / Metro Mobility ecosystem (inferred)""]",
