a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
500,,A,Chicago Disability Transit LLC,IL,"Chicago, IL",78.0,1.0,1,2,1969,census(medium),3767699,A,,independent,independent,Michelle Dacy (owner per BBB); Karen Zaur (Manager),unknown,"[""paratransit"", ""NEMT"", ""wheelchair-accessible van service""]",Disability-owned paratransit serving Chicago metro general public 24/7; listed as a Medicaid/transportation-broker NPI; no identified school district or SPED routing contracts,No M&A activity identified; long-tenured local operator with A+ BBB rating,chicagodisabilitytransit.com,single,3,227000,"Poor fit for Summit. Disability paratransit/NEMT, not yellow-bus or contracted SPED student transport. Sub-scale (3 employees, ~$227K) and outside Summit's school-route platform thesis.",40,100,70,100,100,75,1374
501,,A,Presidential Limosne TRNSP LLC,CA,"San Diego, CA",78.0,1.0,2,3,1982,census(medium),2720930,A,,family-owned,independent,"[""John McGlenn""]",unknown,"[""luxury sedans"", ""SUVs"", ""stretch limousines"", ""motor coach"", ""corporate"", ""weddings"", ""prom""]","[""Prom/formal charters for San Diego-area high schools (retail, not district contract)""]","Family-owned San Diego limo company established 1982; markets to corporate, leisure, weddings, and prom/homecoming. No school-district contracts or yellow-bus operations identified.",https://preslimo.com/,single,6,433000,"Not a Summit tuck-in target. Traditional luxury/livery limo company; prom and formal work is one-off retail charter, not contracted school transportation. No SPED, home-to-school, or yellow-bus capability.",40,100,70,100,100,75,2130
502,,A,Jay's Transport 24/7,MI,"Ann Arbor, MI",78.0,0.8,1,1,1981,census(medium),3738270,A,,family-owned,independent,"[""Jay Gillespie (Owner)"", ""Joe Terokowskie (listed in some directories)""]",medium,"[""NEMT"", ""wheelchair"", ""special-needs""]","[""Washtenaw County (Ann Arbor area) Medicaid / no-fault auto / disability riders""]","Small Ann Arbor-area non-emergency medical transportation operator at PO Box 130526; phone (734) 434-8005. Listed alongside Hour Transportation, MedSync, RK Medride and other SE-Michigan NEMT providers serving Washtenaw ISD-adjacent populations. No school district contracts identified; no M&A activity.",,single,20,1311000,"Sub-scale NEMT/wheelchair operator (~$1.3M revenue, ~20 employees). Not a school-bus contractor. Too small and out of Summit's primary thesis. PASS unless Summit pursues a Michigan SPED/NEMT roll-up.",40,100,70,100,100,75,257
503,,A,North Branch Bus Co,WI,"Bowler, WI",78.0,0.8,16,14,1999,census(high),833590,I,,family-owned,independent,"[""S. Wisnefske Thomas (President)""]",medium,"[""school""]","[""Bowler School District (WI)""]","Long-tenured small contractor (~30 years per directories) serving the Bowler School District in rural Shawano County, WI. No recent M&A or news.",Bowler.K12.Wi.Us,single,15,457000,"Micro-scale single-district contractor (~15 employees, single rural WI district). Too small and remote for a meaningful Summit tuck-in; possible bolt-on only if part of a broader Wisconsin roll-up. Out of Summit's current state footprint.",100,85,30,100,50,90,1049
504,,A,Huettl Bus,WI,"Seymour, WI",78.0,0.8,41,42,1999,census(high),835517,I,,family-owned,independent (Huettl family),"[""Mike Huettl (Owner)""]",medium,"[""school"", ""charter/tours (DBA Huettl Tours)""]","[""Seymour, WI area (Outagamie County). Note: Seymour Community School District publicly partners with All Star Transportation and Kobussen for propane buses, so Huettl may serve adjacent districts or operate as a charter/tour carrier rather than the prime Seymour SD contractor.""]","No recent M&A news. Operates as Huettl Bus Inc and DBA Huettl Tours from 800 E Factory St, Seymour WI; PO Box 127.",,single,40,1693000,"Family-owned (Mike Huettl) combined school-bus and charter/tour operator in NE Wisconsin. If the Seymour-district contract has been ceded to All Star/Kobussen, Huettl's value may be in charter routes plus residual school work; succession signal modest given identified single owner. Could be a small tuck-in if Summit wants Outagamie/Brown County density.",100,85,30,100,50,90,1144
505,,A,Cumberland Bus Svc Inc,WI,"Cumberland, WI",78.0,0.8,17,19,1999,census(high),1417934,I,,family-owned,independent,John Peichel (Owner; contact johnpeichel@yahoo.com),high,"school bus transportation; also operates a CDL/school-bus driver training program (Class B theory + BTW, passenger service, school bus theory/range/road)","Cumberland School District (Cumberland, WI 54829) likely primary; rural northwest WI",No M&A activity found; FMCSA DOT 1417934 active; owner-operated small WI contractor,,single,20,665000,"Independent owner-operator (John Peichel) in rural NW Wisconsin with a built-in driver-training pipeline — unusual and valuable asset for a platform fighting driver shortage. Small scale (~$0.7-1.3M rev) but high succession signal (single-owner, 25+ years), and the in-house CDL training program is genuinely differentiated for a Summit tuck-in.",100,85,30,100,50,90,1502
506,,A,Gary James Transport LTD,WI,"Gillett, WI",78.0,0.8,16,22,1999,census(high),835508,I,,family-owned,independent,"[""Richard Rademann (Owner)""]",unknown,"[""school""]","[""Gillett School District (Oconto County, WI) area""]","No M&A or ownership news identified; incorporated in Wisconsin in 1999, continues to operate as a small school-bus contractor in Gillett.",,single,15,482000,"Small Oconto County family-owned contractor; ~15 employees, ~$0.5M revenue. Sub-scale standalone but typical micro-target for a Wisconsin rollup; owner-age/succession unknown but worth a discreet outreach.",100,85,30,100,50,90,1506
507,,A,Mid-America Wheelchair Svc Inc,MO,"Lees Summit, MO",78.0,0.8,30,3,2013,census(medium),2455663,I,,independent,independent,"[""Tracy Keene (President)""]",unknown,"[""wheelchair mobility equipment sales/service"", ""possible NEMT""]",[],Listed in Yelp/Manta/YellowPages as a mobility equipment sales & services business in Lee's Summit MO; no school-district contracting evidence found.,,single,6,423000,"Appears to be a wheelchair equipment dealer / mobility services shop, not a student-transportation operator (6 employees, ~$423K rev). Not a Summit tuck-in candidate.",100,40,100,100,50,75,1797
508,,A,Limousine Corp America,NJ,"Trenton, NJ",78.0,0.8,19,11,2024,census(medium),4260641,A,,independent,independent,"Anthony Azara (listed as President; LinkedIn shows him as GM at Avalon Transportation, suggesting possible affiliation or career move)",unknown,"[""limousine"", ""airport/hourly chauffeured""]",Airport (Newark/JFK/LGA/PHL) and corporate hourly clients; no NJ DOE school bus contractor match found,No M&A news; principal Anthony Azara appears affiliated with Avalon Transportation (Hamilton NJ),,single,4,316000,"4-employee chauffeured/airport limo on Kuser Rd, Hamilton/Trenton NJ; not appearing on NJ DOE school bus contractor lists. Operates as a generic livery, not a school/SPED operator. NOT a Summit tuck-in fit; Avalon Transportation (separate entity, same principal) is the more relevant adjacent player.",100,25,70,100,100,75,2262
509,,A,Liberty Lines Bus Assoc Inc,NY,"Yonkers, NY",77.8,1.0,640,432,1953,census(high),42234,I,,family-owned,Bernacchia/Murphy families (Liberty Lines Transit umbrella),"[""Thomas Murphy (President)"", ""Gerard Bernacchia"", ""Bruce Bernacchia"", ""Brian Bernacchia"", ""Joseph Murphy (managing directors)""]",medium,"[""transit (Bee-Line bus contract w/ Westchester County)""]","[""Westchester County DOT (Bee-Line transit, 59 routes)"", ""transports high school students in Yonkers/Mount Vernon via transit routes (not dedicated school bus contracts)""]",Long-running Westchester County DOT contract; expanded electric/hybrid bus fleet; engaged with Yonkers Public Schools on workforce development. Not engaged in dedicated school bus contracting.,https://libertylines.com,single,11,8970000,"POOR FIT — Liberty Lines is primarily a municipal fixed-route transit contractor for Westchester County Bee-Line system, not a K-12 school bus operator. The 'Bus Assoc Inc' entity at 475 Saw Mill River Rd is the legacy holding company for Liberty Lines Transit. Some incidental high-school student transport via public transit but no dedicated yellow-bus contracts identified. Recommend deprioritize for Summit's school-bus tuck-in thesis.",45,100,100,100,50,90,73
510,,A,Integrity Student Trnsprtn,NJ,"Egg Harbor City, NJ",77.8,1.0,6,6,2005,agent,1355586,active,Satisfactory,independent,independent,"[""Joseph (Joe) Duncan (Owner)""]",unknown,"[""school""]","[""Atlantic County NJ area districts (Galloway Township/Egg Harbor City vicinity)""]",Active operator; NJDEP Phase 2 VW Settlement proposal submitted for clean bus funding (recent years). Mixed online reviews; no public M&A signal.,https://www.integritybus.net,single,200,8390000,Single-owner Atlantic County NJ school bus contractor with ~200 employees and ~$8M revenue; sits inside Summit's NJ footprint and is a classic tuck-in profile. Owner-operator under Joe Duncan suggests possible succession opportunity if owner is long-tenured.,65,60,70,100,100,90,186
511,,A,Berber Transportation,NJ,"West Orange, NJ",77.8,1.0,8,7,2004,census(medium),4416787,A,,family-owned,independent,"[""Keith Carroll (company officer per FMCSA/LinkedIn)""]",low,"[""school"", ""charter/private/Catholic school transport""]","Public, charter, Catholic, and private schools in northern NJ (West Orange/Essex County area)",USDOT 4416787 active (re-registered May 2025); company established 2004; no M&A activity identified,https://www.goberber.com/,single,18,929000,"Small independent NJ contractor in Summit's core NJ market serving public/charter/private/Catholic schools — diversified customer mix is attractive. Sub-scale (~$1M rev, <10 buses) but could be a bolt-on into an existing NJ Summit footprint.",65,60,70,100,100,90,1255
512,,A,M LAKER LLC,PA,"Davidsville, PA",77.8,1.0,456,202,1997,agent,2424462,Active; authorized for passenger operations,None (review 05/24/2022; non-ratable),family-owned,independent,"Ralph Mlaker (founder, Korean War veteran); Craig Mlaker (2nd gen); Matt Mlaker (3rd gen)",medium,"[""school"", ""charter"", ""tours"", ""bus sales"", ""bus service""]","Multiple districts in Western/Central PA from Davidsville HQ plus satellite offices; sells/services buses in PA, OH, WV",Three-generation family business operating Mlaker Student Transportation and Mlaker Charter & Tours divisions; over 325 employees as of latest disclosure.,https://www.mlaker.com/,single,8,241000,Attractive PA tuck-in: family-owned 3rd-gen operator with sizable district book and ancillary charter/sales businesses; succession potential at 3rd-gen handoff. Far larger than the 8-employee single-tier suggests.,45,85,100,100,70,90,1533
513,,A,Smiley Transportation,TX,"Keller, TX",77.8,1.0,9,2,2006,census(medium),2020438,A,,family-owned,independent,"[""Lori Woody (Owner)"", ""Tom Woody (Owner)""]",low,"[""student shuttle (door-to-door vans)"", ""special needs transport""]","[""Keller ISD"", ""Northwest ISD"", ""Eagle Mountain Saginaw ISD"", ""Birdville ISD"", ""IL Texas (International Leadership of Texas)""]","July 2025: Lori and Tom Woody acquired Smiley Transportation from founder; Lori had been Office Manager since 2021. Operates door-to-door student shuttle via passenger vans, not full-size school buses.",https://www.smileytransportation.com/,single,3,146000,"Just changed hands in July 2025 to new owners (succession low for next 2-3 years). Van-based parent-paid student shuttle model, not yellow-bus district contractor. Limited fit as traditional Summit tuck-in; possible adjacency play for North Texas SPED/shuttle.",65,60,70,100,100,90,1666
514,,A,Edison Transportation,OR,"Portland, OR",77.8,1.0,6,5,2010,census(high),2086972,A,,independent,independent,"[""Edwin Madison""]",unknown,"[""private school"", ""charter"", ""field trips"", ""airport""]","[""private schools (Portland metro)"", ""charter clients""]","FMCSA SAFER lists 6 power units, 5 drivers, intrastate-only passenger carrier, active with zero crashes/inspections in last 24 months.",https://www.edisontransportation.org/,single,2,99000,Very small Portland-area passenger/charter operator serving private schools and field trips; sub-scale (6 vehicles). Not a yellow-bus contractor — limited tuck-in fit; possible micro-acqui-hire only.,65,60,70,100,100,90,2453
515,,A,Houston Students Bus Svc,TX,"Houston, TX",77.8,0.8,7,11,2009,census(medium),1936057,A,S,family-owned,independent,"[""Jose A Huerta (Owner)"", ""Juana Huerta (Co-owner)""]",medium,"[""school"", ""charter""]","[""YES Prep Public Schools (incl. East End Secondary) \u2014 one of two transportation vendors alongside First Student""]","Operates as 'Huerta Bus Service' (7743 Elwood St, Houston 77012); long-standing Houston family-owned school bus contractor serving YES Prep charter network. Mixed customer reviews (2.4-2.8 stars) re: driver behavior; no M&A activity identified.",,single,32,1772000,More substantive than peers — verified active YES Prep contract gives recurring charter-school revenue base. Family-owned with succession potential; warrants outreach to confirm fleet scale before progressing.,65,60,70,100,100,90,746
516,,A,Lion's School Shuttle Svc,CA,"Redlands, CA",77.8,0.8,9,11,2010,census(medium),2806960,A,,family-owned,independent,"[""Irfan U. Khan (President)""]",low,"[""school"", ""student-shuttle""]","[""Inland Empire / Redlands-Riverside area (Redlands USD market)""]","FMCSA SAFER snapshot lists Lions School Shuttle Services Inc (USDOT 2910683, MC-980550) with 2 power units and 4 drivers; passenger authority active. Second USDOT 2626124 also tied to entity. No M&A activity.",,single,1,204000,"Not a viable tuck-in: confirmed independent but only 2 buses / 4 drivers — sub-scale micro-carrier in Redlands. Could be a route-cluster pickup if Summit ever wants Inland Empire density, but not material on its own.",65,60,70,100,100,90,3021
517,,A,Kansas Central School Bus,KS,"Paola, KS",77.8,0.8,2619,3073,1992,agent,1714924,ACTIVE - Authorized For Passenger,Satisfactory (non-ratable review 01/26/2024),independent,independent,"[""Kitty Anderson (Contract Manager)""]",unknown,"[""school""]","[""Paola USD 368 (Miami County, KS)""]","Long-standing contractor for Paola USD 368 since ~2010; district pays ~$51K per bus annually (fuel excluded, district spent ~$81,500 on fuel). Operates from 1705 Industrial Park Dr, Paola. Phone (913) 294-9610.",,single,3,107000,"Genuine independent district contractor (single-district, ~15-bus scale in Paola, KS) - small but real tuck-in profile in Summit's expansion geography. Worth a sourcing call to gauge owner succession; Kitty Anderson appears to be longtime operator.",45,85,70,100,100,90,3261
518,,A,Suburban School Transportation,OH,"Waltham, MA",77.5,1.0,4,4,1988,census(medium),2592421,A,,independent,independent,"James Ondrejcak (Owner); Sue B. (Operations/HR Mgr); Barb W. (Transportation Logistics Mgr); Austin O. (Fleet Mgr). Note: 'Arthur Bernard / Waltham MA' in source data appears to be a data error - Arthur Bernard is President of Airport Coach Ltd. (Waltham, MA), an unrelated airport/corporate transport company. Actual SSTN is headquartered in Brunswick, OH.",medium,"K-12 school bus (public & private schools), special needs transportation, wheelchair/modified vans, after-school programs",75+ school districts across 12 counties in Northeastern Ohio; transports ~900 students daily,Long-standing independent NE Ohio contractor in business 35+ years; no public M&A activity identified through 2025-2026.,https://www.sstn.com/,small(2-5),105,9566000,"Strong potential tuck-in for Summit: independent owner-operated NE Ohio school/SPED contractor, ~225-vehicle fleet, 75+ districts, multi-decade operating history. Ohio is a Summit/Durham geography. Worth diligence on succession (Ondrejcak as sole owner) and contract retention.",40,85,70,100,100,100,604
519,,A,Arizona Medical Transport LLC,AZ,"Tucson, AZ",77.5,1.0,13,12,2007,census(medium),2794484,I,,family-owned,independent,"[""Ana Bertha Lozano (CEO / Owner)""]",unknown,"[""NEMT (van)"", ""wheelchair / non-ambulatory medical transport""]","[""AHCCCS Medicaid riders (Tucson / Pima County)"", ""medical facilities""]",NPI 1659407864 registered Feb 2007; BBB-listed NEMT van provider; no acquisition or growth news found.,http://www.amtransit.com/,single,4,366000,Pure NEMT van micro-operator in Tucson — no school-district contracts identified. Too small and off-thesis for Summit (school-bus / SPED platform). Recommend drop from target list.,100,60,70,100,50,75,1621
520,,A,Rehab Transportation,MI,"Canton, MI",77.5,1.0,35,38,2004,census(medium),1244057,I,,independent,independent,Rick Morse (Manager),unknown,"[""NEMT"", ""wheelchair""]",Southeast Michigan facilities and clinics; non-emergency medical transport,Operating per company website (rehabtransportation.com) as of 2026; states '45 vehicles in our fleet and counting',https://rehabtransportation.com/,single,5,358000,NOT A FIT — pure non-emergency medical transportation (NEMT) provider serving facilities/clinics in SE Michigan. No school bus or K-12 SPED contracting evident. Out of scope for Summit School Services tuck-in strategy.,100,60,70,100,50,75,2203
521,,A,Salem Limousine,OH,"Dayton, OH",77.5,0.8,28,35,2006,census(medium),1483396,I,,family-owned,independent,"[""Mark R. Stubbs (Owner/President)""]",unknown,"[""limousine"", ""livery"", ""charter""]",[],"Operates as 'Salem Auto Livery Co.' from 712 W 3rd St, Dayton; BBB-categorized as charter bus / limo service. Owner Mark R. Stubbs. No school district contracts surfaced.",,single,10,699000,Family-owned Dayton livery/charter operator (d/b/a Salem Auto Livery). Phone matches record. No evidence of school-bus or SPED routes; primarily limo/charter. Not aligned with Summit's yellow-bus tuck-in thesis; pass unless deeper diligence finds SPED/Medicaid work.,100,60,70,100,50,75,1436
522,,A,Van's Med-Tec Transport & Svc,VA,"Danville, VA",77.5,0.6,,,1988,none,,,,family-owned,independent,"[""Chris Elliott (Owner)"", ""Amanda Jones (Co-Owner)"", ""originally founded by Van Elliott (per source data)""]",medium,"[""NEMT"", ""wheelchair"", ""stretcher"", ""ambulatory"", ""long-distance medical""]","[""Southern Virginia and northern North Carolina"", ""hospitals, nursing/rehab centers, assisted living, dialysis centers"", ""Medicaid/Medicare NEMT""]",Active BBB-listed family-owned NEMT operator since 1989; no public M&A or litigation news found in 2024-2026.,https://vansmedtec.com,single,45,2661000,"Pure-play NEMT, not a school bus contractor. Family ownership with apparent generational transition (Van -> Chris Elliott) suggests possible succession opportunity, but mission fit is weak for Summit's K-12 platform unless Summit pursues a NEMT/medical adjacency strategy.",80,85,70,100,50,75,62
523,,A,Matthews Bus Co Inc Sch Buses,PA,"Mc Kees Rocks, PA",77.5,0.6,,,1961,none,,,,PE-owned,Summit School Services LLC (I Squared Capital portfolio — Summit's own brand; previously National Express/NELLC),"[""Charlie Bryer (Manager per source data)""]",low,"[""school"", ""charter""]","[""West Jefferson SD, PA"", ""Keystone Oaks SD, PA""]",Transitioned from National Express LLC (NELLC) to Summit School Services as part of the broader National Express North American school bus carve-out acquired by I Squared Capital.,matthewsbus.com,small(2-5),90,5850000,ALREADY OWNED by Summit School Services — should be removed from the tuck-in target list. McKees Rocks PA operation is part of Summit's existing platform footprint; data point useful for adjacency mapping (find neighbors of this terminal as tuck-ins).,80,100,100,40,50,90,165
524,,A,American Chair Car Svc LLC,CT,"Trumbull, CT",77.5,0.6,,,1997,none,,,,family-owned,independent,"[""Luigi Cammarota (Managing Member/Owner)""]",unknown,"[""wheelchair/chair-car NEMT"", ""ADA-accessible transport"", ""hospital/rehab discharge"", ""dialysis & therapy recurring rides"", ""senior community trips""]","[""Statewide Connecticut wheelchair transport""]",No M&A or sale activity found. Independently operated since founding in 1997 by Luigi Cammarota; remains a small CT-statewide NEMT/chair-car provider with no indication of school-district contracts.,https://www.americanchaircar.com/,single,18,1254000,NEMT/wheelchair-only contractor with NPI registration confirming medical-transport focus; no evidence of school or SPED school-route work. Outside Summit's school-bus tuck-in remit. De-prioritize as platform target.,80,85,70,100,50,75,1080
525,,A,Wheelchair Transportation,FL,"Sarasota, FL",77.5,0.6,,,1972,none,,,,independent,independent,"[""Clifton Williams (listed as Controller per ZoomInfo; Owner per source data)""]",medium,"[""NEMT (non-emergency medical)"", ""wheelchair transport"", ""stretcher"", ""ambulatory transport""]","Optum/Evercare, PSTA Mobility on Demand, VA (Bay Pines and Ft. Myers), private pay; West Coast Florida service area; HQ Clearwater FL (not Sarasota — source HQ address may be a service-area listing)",Wheelchair Transport Service (WTS) — 50+ years in operation (founded 1973). Featured in ABC Action News for drivers assisting child in highway danger. No M&A activity identified.,https://www.wheelchairtransport.com,small(2-5),6,395000,"Long-tenured (50+ yrs) FL West Coast NEMT/wheelchair operator — adult medical transport, NOT student transportation. Outside Summit's school-bus thesis. Disqualify unless Summit explicitly expands into SPED/NEMT adjacency.",50,100,100,100,50,75,1562
526,,A,Henry School Buses LLC,PA,"Wilkes Barre, PA",77.5,0.4,,,1996,none,,,,unknown,independent,Not disclosed in public sources,unknown,"[""school""]","[""Likely Wilkes-Barre Area / Luzerne County districts (not publicly confirmed)""]","PA LLC #4199812 formed July 9, 2013; status Active. No M&A or press identified. Note local market is dense with STA (Wilkes-Barre depot) and Martz Group.",,single,22,849000,"Very small (~22 employees, ~$0.85M est revenue), single-LLC operator in NEPA with no website and limited public footprint. Could be a low-cost bolt-on to a Wilkes-Barre area route base, but ownership/principals need direct outreach to confirm.",80,85,100,60,50,90,1004
527,,A,Bay Terrace Transit Corp,NY,"New Hyde Park, NY",77.5,0.4,,,1996,none,,,,unknown,independent (no PE/strategic ownership identified),unknown,unknown,"[""school""]","Long Island / NYC metro area; listed in NYSDOT Bus Operator Profiles 2021-2022 (operating ~11 buses out of Port Washington base per NYSDOT register, though source data lists New Hyde Park HQ)",Appears in NYSDOT Bus Operator Profiles (Apr 2021 - Mar 2022); no recent M&A or news identified.,,single,15,600000,"Very small NY operator (~11 buses). Plausible independent tuck-in in dense LI/NYC market where consolidators (Beacon Mobility, NYCSBUS, Consolidated) are active; would need direct outreach to confirm ownership and succession.",80,85,100,60,50,90,1040
528,,A,Laidback Transport Svc Inc,AZ,"Phoenix, AZ",77.5,0.4,,,1996,none,,,,independent,independent,"[""Tim Johnson (Manager)""]",medium,"[""special-needs"", ""local-passenger""]",[],"Per Cortera profile, Laidback Transport Services Inc is a privately owned local passenger transport business at 2525 E Jefferson St, Phoenix, founded 1996; no recent M&A activity identified.",,single,14,1054000,"30-year-old Phoenix passenger transport firm; small (~14 employees, ~$1.05M rev) and appears NEMT/SPED-leaning rather than K-12 yellow bus, but founder-era operator suggests possible succession opening for Summit's AZ expansion footprint.",80,85,70,100,50,75,1091
529,,A,Woodland Wheelchair Svc Inc,WA,"Woodland, WA",77.5,0.4,,,1992,none,,,,family-owned,independent,"[""Carolyn Trice (President/Owner)""]",high,"[""NEMT"", ""wheelchair-transport"", ""special-needs""]",[],"Founded 1992, incorporated 1994; long-tenured owner-operator Carolyn Trice. BBB file open since 2007 but not accredited. Some mixed customer reviews. No M&A activity reported.",,single,15,850000,"34+ year-old owner-operated wheelchair/NEMT business in SW Washington — owner likely near retirement (succession signal high), but scale is tiny (~7 employees, ~$235K-$850K revenue) and there is no evidence of yellow-bus or school district SPED contracts. Below Summit tuck-in threshold; pass unless district SPED contracts can be confirmed.",80,85,70,100,50,75,1407
530,,A,Seacoast Chair Car Svc LLC,NH,"Hampton, NH",77.5,0.4,,,1999,none,,,,independent,independent,"[""Stephen MacInnes (Owner)""]",medium,"[""wheelchair_transport"", ""NEMT"", ""handicapped_transport""]","[""NH seacoast medical/disability riders""]","No M&A news. Owner-operated handicapped/medical transport in Hampton, NH since 1999/2000; ~25+ years in business with single owner.",,single,14,842000,Not a yellow-school-bus operator. Pure wheelchair/NEMT van service; could be an adjacent NH SPED/medical add-on but not a core Summit school-bus tuck-in. Long-tenured solo owner suggests possible succession optionality.,80,85,70,100,50,75,1410
531,,A,Jenda Transport Inc,NY,"Hamburg, NY",77.5,0.4,,,1970,none,,,,family-owned,independent,"[""Donald E. Bodekor (Owner)""]",high,"[""wheelchair-accessible non-emergency medical transportation (NEMT)"", ""special-needs transport""]","[""Hamburg NY area medical/wheelchair clients (Erie County)""]",Operates as Jenda Wheelchair Transport (BBB-listed); long-tenured owner-operator (since 1970 per company record). Two BBB-listed locations. Fisher Bus Service is the dominant school-bus operator in Hamburg/Orchard Park CSDs — Jenda does NOT appear to hold school SPED contracts.,,single,2,143000,"Marginal/no fit. Tiny (~2 employees, ~$143K revenue) NEMT/wheelchair operator, not a school bus contractor. Founder Bodekor with 55+ years of tenure = strong succession signal, but business is sub-scale and adjacent-market (medical), not Summit's core school-bus tuck-in profile.",50,100,100,100,50,75,1775
532,,A,Pioneer Transportation Corp,NY,"Staten Island, NY",77.2,1.0,725,567,2005,census(high),1509651,A,,independent,independent (private; ownership not publicly disclosed),"[""Owen Reiter (General Manager, Staten Island)"", ""Neil Strahl (executive)""]",unknown,"[""school"", ""special-needs"", ""charter""]","[""NYC Department of Education"", ""Bronx District 7""]",~$9M EPA Clean School Bus Rebate award to deploy 25 new electric school buses in Bronx District 7. Named in 2024 NY AG settlement (with three other NYC contractors) over illegal idling at bus yards.,https://www.pioneerbus.com,single,350,0,"Sizable NYC DOE school-bus contractor (~40,000 students/day, 50+ years operating, Staten Island + Bronx yards). Independent private ownership not disclosed publicly - high-value potential NYC platform/scale tuck-in for Summit, with credible EV transition story already in motion. Pre-LOI diligence needed on owners, union exposure, and NYC contract renewal cycle. Note revenue_est=0 and 'single' size tier in source row are clearly inaccurate.",45,60,100,100,100,90,651
533,,A,Boulden Buses Inc,DE,"Stanton, DE",77.0,1.0,9,13,1933,census(high),6727,A,C,family-owned,independent,Kenneth (Kenny) Darsney (President/Owner); Christopher Darsney and Michelle Dougherty (officers),medium,"[""school""]","New Castle County, DE area schools; appears as vendor in State of Delaware open expenditures (incl. New Castle County Vo-Tech)","Active independent operator per FMCSA SAFER (USDOT 6727); MCS-150 updated April 2026; conditional safety rating (older, 2010) with no recent crashes or serious violations.",https://boulden-buses-inc.hub.biz,single,10,610000,"Very small DE operator (~9 buses); 90+ years family-run gives succession/tuck-in angle in a Summit expansion state, but scale is sub-scale even for a tuck-in.",65,100,30,100,82,90,1038
534,,A,Trinity Wheelchair Trnsprtn,FL,"New Port Richey, FL",77.0,0.4,,,2009,none,,,,independent,independent,unknown (no owner publicly named),unknown,"[""wheelchair/medical transport"", ""ambulatory transport"", ""stated 'special needs school transport' per directory listing"", ""Alzheimer's/pediatric/inter-facility transfer""]","none confirmed; primary work appears to be NEMT/medical, with directory mention of special-needs school transport","No M&A, news, or recent growth signals found (2026). Listed only on legacy directories (MerchantCircle, YellowPages, CMac) with phone 727-967-7455 or 727-835-5849; no standalone website.",,single,19,1129000,"Weak fit. Primarily a non-emergency medical transport (NEMT)/wheelchair van operator with secondary 'special-needs school transport' positioning. Sub-scale (~19 EE), no website, no district contracts identified -- not a meaningful Summit tuck-in but could be a bolt-on for an existing FL special-needs platform if route bookings can be validated.",80,60,100,100,50,75,597
535,,A,Compassion Transport Svc LLC,PA,"Biglerville, PA",76.8,1.0,7,7,2016,census(high),4035897,A,,independent,independent,"[""Ruth A Lawrence (Manager)""]",unknown,"[""paratransit"", ""NEMT"", ""senior/disabled transport""]","[""South Central PA paratransit/NEMT riders (Adams County area); PUC-licensed""]","No M&A activity found; small rural PUC-licensed para-transit operator established 2016 in Biglerville, PA.",ridewithcompassion.com,single,3,167000,Not a school-bus operator — pure NEMT/para-transit micro-operator (3 employees). Out of scope for Summit's K-12/SPED tuck-in thesis.,65,40,100,100,100,75,1688
536,,A,Layla Transportation,NJ,"Middlesex, NJ",76.5,1.0,1,1,2000,agent,3251062,Active USDOT; NOT AUTHORIZED for interstate for-hire,None,family-owned,independent,Wael Haned / Wael Humed (Owner/President; spelling varies in sources),medium,"[""school"", ""special-needs""]",Central NJ districts (Piscataway/Middlesex County area); New Jersey school transportation contracts,"Per company website, founded 2001 in Piscataway with one minivan and has grown to operate 'over 200 school vehicles.' SAFER lists USDOT 3251062 with only 1 power unit (intrastate exempt for-hire, MCS-150 filed Dec 2021) - suggests fleet may be split across multiple corporate entities or DOT data is stale. NLRB case 22-RM-331041 indicates union activity.",laylatransport.com,single,4,1133000,"Independent family-owned NJ operator with claimed ~200 vehicle fleet in Middlesex County - dense, contract-rich NJ market that aligns with Summit/Durham legacy footprint. Real fleet size needs verification (DOT data conflicts with website claim). NLRB union activity may complicate diligence but is consistent with unionized NJ school bus norms.",40,85,70,100,100,90,550
537,,A,Meister Special Care Transport,WI,"Madison, WI",76.5,1.0,11,10,2001,census(high),982599,I,,family-owned,independent,Ron Meister (Owner),medium,"[""NEMT"", ""wheelchair/ambulance"", ""special care medical transport""]","Wisconsin Medicaid/BadgerCare NEMT ecosystem (MTM, Modivcare brokers); no school district contracts identified","FMCSA shows authority as inactive at one point; small, owner-operated Madison-area NEMT provider; no M&A activity found",none confirmed,single,20,1215000,"Poor strategic fit. NEMT/ambulance-style special care transport, not a school-bus contractor. Could be tangential (some SPED routing) but lacks school district base; below Summit's typical tuck-in profile. Founder-led so theoretical succession angle exists.",100,85,30,100,50,75,654
